Date	Opponent	Score	Loss	Attendance	Record
August 1	@ Royals	8 - 7	Sabathia (7-6)	15,641	53-52
August 2	@ Blue Jays	6 - 1	Lee (10-4)	17,549	53-53
August 3	@ Blue Jays	7 - 6	Betancourt (4-5)	15,025	53-54
August 4	@ Blue Jays	14 - 5	Towers (6-4)	15,675	54-54
August 5	@ Blue Jays	6 - 3 (10)	Ligtenberg (1-4)	30,037	55-54
August 6	@ White Sox	3 - 2	Buehrle (10-5)	23,811	56-54
August 7	@ White Sox	6 - 5	Takatsu (4-3)	32,790	57-54
August 8	@ White Sox	3 - 2	Betancourt (5-6)	25,897	57-55
August 9	@ White Sox	13 - 11	Díaz (1-3)	31,116	58-55
August 10	Blue Jays	2 - 0	Bush (1-3)	19,942	59-55
August 11	Blue Jays	3 - 2	Frederick (0-1)	23,696	60-55
August 12	Blue Jays	6 - 2	Ligtenberg (1-5)	22,734	61-55
August 13	Twins	8 - 2	Silva (10-8)	30,101	62-55
August 14	Twins	7 - 1	Lohse (5-10)	40,942	63-55
August 15	Twins	4 - 2 (10)	White (4-5)	38,019	63-56
August 16	@ Rangers	5 - 2	Sabathia (9-7)	23,551	63-57
August 17	@ Rangers	16 - 4	Lee (10-5)	24,864	63-58
August 18	@ Rangers	5 - 2	Elarton (2-3)	31,572	63-59
August 20	@ Twins	5 - 1	Westbrook (11-6)	25,157	63-60
August 21	@ Twins	8 - 1	Durbin (5-5)	27,945	63-61
August 22	@ Twins	7 - 3	Sabathia (9-8)	28,587	63-62
August 23	Yankees	6 - 4	Wickman (0-1)	33,172	63-63
August 24	Yankees	5 - 4	Wickman (0-2)	31,729	63-64
August 25	Yankees	4 - 3	Gordon (6-4)	30,605	64-64
August 26	White Sox	14 - 9	Durbin (5-6)	30,049	64-65
August 27	White Sox	6 - 3	Grilli (0-1)	30,527	65-65
August 28	White Sox	5 - 3	Lee (10-6)	37,374	65-66
August 29	White Sox	9 - 0	Garland (9-10)	32,834	66-66
August 31	@ Yankees	22 - 0	Vázquez (13-8)	51,777	67-66
