City	Province	Country	IATA	Airport
Aksu	Xinjiang	China	AKU	Aksu Airport
Almaty	—	Kazakhstan	ALA	Almaty International Airport
Altay	Xinjiang	China	AAT	Altay Airport
Amsterdam	—	Netherlands	AMS	Amsterdam Airport Schiphol
Ashgabat	—	Turkmenistan	ASB	Ashgabat Airport
Astana	—	Kazakhstan	TSE	Astana International Airport
Auckland	—	New Zealand	AKL	Auckland Airport
Baishan	Jilin	China	NBS	Changbaishan Airport
Baku	—	Azerbaijan	GYD	Heydar Aliyev International Airport
Bangkok	—	Thailand	BKK	Suvarnabhumi Airport
Baoshan	Yunnan	China	BSD	Baoshan Airport
Baotou	Inner Mongolia	China	BAV	Baotou Airport
Beijing	Beijing	China	PEK	Capital International Airport Hub
Beihai	Guangxi	China	BHY	Fucheng Airport
Bishkek	—	Kyrgyzstan	FRU	Manas International Airport
Brisbane	—	Australia	BNE	Brisbane Airport
Busan	—	South Korea	PUS	Gimhae International Airport
Cairns	—	Australia	CNS	Cairns Airport [#]
Cebu	—	Philippines	CEB	Mactan-Cebu International Airport
Changchun	Jilin	China	CGQ	Changchun Longjia International Airport
Changde	Hunan	China	CGD	Changde Airport
Changsha	Hunan	China	CSX	Changsha Huanghua International Airport
Changzhi	Shanxi	China	CIH	Changzhi Wangcun Airport
Changzhou	Jiangsu	China	CZX	Changzhou Benniu Airport
Chengdu	Sichuan	China	CTU	Shuangliu International Airport
Cheongju	—	South Korea	CJJ	Cheongju Airport
Chiang Mai begins 2013-12-01	—	Thailand	CNX	Chiang Mai International Airport [*]
Chicago	—	United States	ORD	O'Hare International Airport [Cargo]
Chongqing	Chongqing	China	CKG	Jiangbei International Airport Hub
Daegu	—	South Korea	TAE	Daegu Airport
Dali	Yunnan	China	DLU	Dali Airport
Dalian	Liaoning	China	DLC	Zhoushuizi International Airport
Da Nang	—	Vietnam	DAD	Da Nang International Airport
Dandong	Liaoning	China	DDG	Dandong Airport
Daqing	Heilongjiang	China	DQA	Daqing Saertu Airport
Datong	Shanxi	China	DAT	Datong Airport
Delhi	—	India	DEL	Indira Gandhi International Airport
Denpasar	—	Indonesia	DPS	Ngurah Rai International Airport
Dhaka	—	Bangladesh	DAC	Shahjalal International Airport
Dubai	—	United Arab Emirates	DXB	Dubai International Airport
Dushanbe	—	Tajikistan	DYU	Dushanbe Airport
Enshi	Hubei	China	ENH	Enshi Airport
Frankfurt	—	Germany	FRA	Frankfurt Airport [Cargo]
Fukuoka	—	Japan	FUK	Fukuoka Airport
Fuzhou	Fujian	China	FOC	Changle International Airport
Ganzhou	Jiangxi	China	KOW	Ganzhou Huangjin Airport
Guam	—	Guam	GUM	Antonio B. Won Pat International Airport [F]
Guangzhou	Guangdong	China	CAN	Baiyun International Airport Hub
Guiyang	Guizhou	China	KWE	Longdongbao International Airport
Guilin	Guangxi	China	KWL	Liangjiang International Airport
Gwangju	—	South Korea	KWJ	Gwangju Airport [F]
Haikou	Hainan	China	HAK	Meilan International Airport
Hailar	Inner Mongolia	China	HLD	Hailar Dongshan Airport
Handan	Hebei	China	HDG	Handan Airport
Hangzhou	Zhejiang	China	HGH	Xiaoshan International Airport ^
Hanoi	—	Vietnam	HAN	Noi Bai International Airport
Harbin	Heilongjiang	China	HRB	Taiping International Airport
Hefei	Anhui	China	HFE	Luogang International Airport
Heihe	Heilongjiang	China	HEK	Heihe Airport
Hiroshima	—	Japan	HIJ	Hiroshima Airport
Ho Chi Minh City	—	Vietnam	SGN	Tan Son Nhat International Airport
Hohhot	Inner Mongolia	China	HET	Hohhot Baita International Airport ^
Hong Kong	—	Hong Kong	HKG	Hong Kong International Airport
Hotan	Xinjiang	China	HTN	Hotan Airport
Huangshan	Anhui	China	TXN	Huangshan Tunxi International Airport
Islamabad	—	Pakistan	ISB	Benazir Bhutto International Airport
Istanbul	—	Turkey	IST	Istanbul Atatürk Airport
Jakarta	—	Indonesia	CGK	Soekarno-Hatta International Airport
Jeddah	—	Saudi Arabia	JED	King Abdul Aziz International Airport
Jeju	—	South Korea	CJU	Jeju International Airport
Jiamusi	Heilongjiang	China	JMU	Jiamusi Airport
Jinan	Shandong	China	TNA	Yaoqiang International Airport
Jinghong	Yunnan	China	JHG	Xishuangbanna Gasa Airport
Ji'an	Jiangxi	China	JNG	Jinggangshan Airport
Jingdezhen	Jiangxi	China	JDZ	Jingdezhen Airport
Jining	Shandong	China	JNG	Jining Airport
Jiujiang	Jiangxi	China	JIU	Jiujiang Lushan Airport
Jiuzhaigou	Sichuan	China	JZH	Jiuzhaigou Huanglong Airport
Kaohsiung	—	Taiwan	KHH	Kaohsiung International Airport
Karamay	Xinjiang	China	KRY	Karamay Airport
Kashgar	Xinjiang	China	KHG	Kashgar Airport
Kathmandu	—	Nepal	KTM	Tribhuvan International Airport
Khabarovsk	—	Russia	KBV	Khabarovsk Novy Airport [F]
Khujand	—	Tajikistan	LBD	Khudzhand Airport
Ko Samui	—	Thailand	USM	Samui Airport [#]
Korla	Xinjiang	China	KRL	Korla Airport
Kuala Lumpur	—	Malaysia	KUL	Kuala Lumpur International Airport
Kumul	Xinjiang	China	HMI	Hami Airport
Kunming	Yunnan	China	KMG	Kunming Changshui International Airport
Kuqa	Xinjiang	China	KCA	Kuqa Airport
Lanzhou	Gansu	China	LHW	Lanzhou Airport
Laoag City	—	Philippines	LAO	Laoag International Airport [F]
Lhasa	Tibet	China	LXA	Lhasa Gonggar Airport
Lianyungang	Jiangsu	China	LYG	Lianyungang Baitabu Airport
Lijiang	Yunnan	China	LJG	Lijiang Airport
Liuzhou	Guangxi	China	LZH	Liuzhou Airport
Los Angeles	—	United States	LAX	Los Angeles International Airport
London	—	United Kingdom	LHR	London Heathrow Airport
Luoyang	Henan	China	LYA	Luoyang Airport
Luzhou	Sichuan	China	LZO	Luzhou Airport
Malé	—	Maldives	MLE	Malé International Airport
Manila	—	Philippines	MNL	Ninoy Aquino International Airport
Medina	—	Saudi Arabia	MED	Prince Mohammad Bin Abdulaziz Airport [#]
Mei County	Guangdong	China	MXZ	Meixian Airport
Melbourne	—	Australia	MEL	Melbourne Airport
Mianyang	Sichuan	China	MIG	Mianyang Nanjiao Airport
Milan	—	Italy	MXP	Malpensa Airport [Cargo]
Moscow	—	Russia	SVO	Sheremetyevo International Airport
Muan	—	South Korea	MWX	Muan International Airport
Mudanjiang	Heilongjiang	China	MDG	Mudanjiang Airport
Nagoya	—	Japan	NGO	Chūbu Centrair International Airport
Nanchang	Jiangxi	China	KHN	Nanchang Changbei International Airport ^
Nanchong	Sichuan	China	NAO	Nanchong Airport
Nanjing	Jiangsu	China	NKG	Lukou International Airport
Nanning	Guangxi	China	NNG	Nanning Wuxu International Airport
