Year	Driver	Constructor	Location	Report
1940	Giuseppe Farina	Alfa Romeo	Mellaha	Report
1939	Hermann Lang	Mercedes-Benz	Mellaha	Report
1938	Hermann Lang	Mercedes-Benz	Mellaha	Report
1937	Hermann Lang	Mercedes-Benz	Mellaha	Report
1936	Achille Varzi	Auto Union	Mellaha	Report
1935	Rudolf Caracciola	Mercedes-Benz	Mellaha	Report
1934	Achille Varzi	Alfa Romeo	Mellaha	Report
1933	Achille Varzi	Bugatti	Mellaha	Report
1930	Baconin Borzacchini	Maserati	Tripoli	Report
1929	Gastone Brilli-Peri	Talbot	Tripoli	Report
1928	Tazio Nuvolari	Bugatti	Tripoli	Report
1927	Emilio Materassi	Bugatti	Tripoli	Report
1926	François Eysermann	Bugatti	Tripoli	Report
1925	Renato Balestrero	OM	Tripoli	Report
