Week	Date	Opponent	Result	TV Time	Attendance
1	September 1, 1996	Pittsburgh Steelers	W 24–9	NBC 1:00pm	70,210
2	September 8, 1996	Houston Oilers	L 34–27	NBC 1:00pm	66,468
3	September 15, 1996	at Oakland Raiders	L 17–3	NBC 4:00pm	46,291
4	September 22, 1996	at New England Patriots	L 28–25 (OT)	NBC 4:00pm	59,446
5	September 29, 1996	Carolina Panthers	W 24–14	FOX 1:00pm	71,537
6	October 6, 1996	at New Orleans Saints	L 17–13	NBC 1:00pm	34,231
7	October 13, 1996	New York Jets	W 21–17	NBC 1:00pm	65,699
8	October 20, 1996	at St. Louis Rams	L 17–14	NBC 1:00pm	60,066
9	October 27, 1996	at Cincinnati Bengals	L 28–21	NBC 1:00pm	45,890
10	Bye	Bye	Bye	Bye	Bye
11	November 10, 1996	Baltimore Ravens	W 30–27	NBC 4:00pm	64,628
12	November 17, 1996	at Pittsburgh Steelers	L 28–3	NBC 1:00pm	57,879
13	November 24, 1996	at Baltimore Ravens	W 28–25 (OT)	NBC 4:00pm	57,384
14	December 1, 1996	Cincinnati Bengals	W 30–27	NBC 1:00pm	57,408
15	December 8, 1996	at Houston Oilers	W 23–17	NBC 1:00pm	20,196
16	December 15, 1996	Seattle Seahawks	W 20–13	ESPN 8:00pm	66,134
17	December 22, 1996	Atlanta Falcons	W 19–17	FOX 1:00pm	71,449
