Episode #	Fan Title	Writer	Artist(s)	Start Date	End Date	Inc. Dailies?	Inc. Sundays?
01D	Catwoman	Whitney Ellsworth	Shelly Moldoff	1966-05-30	1966-07-09	yes	no
01S	A Penguin with Shark Teeth	Whitney Ellsworth	Shelly Moldoff	1966-05-29	1966-07-10	no	yes
02D	Joker On Parole	Whitney Ellsworth	Joe Giella	1966-07-11	1966-09-24	yes	no
02S	The Nasty Napoleon	Whitney Ellsworth	S. Moldoff/J. Giella/C. Infantino	1966-07-17	1966-10-16	no	yes
03D	Jolly Roger	Whitney Ellsworth	Joe Giella	1966-09-26	1966-12-10	yes	no
03S	Batchap and Bobbin	Whitney Ellsworth	Joe Giella	1966-10-23	1966-12-11	no	yes
04	Poison Ivy	Whitney Ellsworth	Joe Giella	1966-12-12	1967-03-18	yes	yes
05	Batman Meets Benny	Whitney Ellsworth	Joe Giella	1967-03-19	1967-04-30	yes	yes
06	Batgirl Begins	Whitney Ellsworth	Joe Giella	1967-05-01	1967-07-09	yes	yes
07	Amnesia	Whitney Ellsworth	Joe Giella	1967-07-10	1967-11-12	yes	yes
08	Zodiac	Whitney Ellsworth	Joe Giella	1967-11-13	1968-03-??	yes	yes
09	Superman's Missing Powers	Whitney Ellsworth	Al Plastino	1968-03-??	1968-08-15	yes	yes
10	Aqua-Batman	Whitney Ellsworth	Al Plastino	1968-08-16	1968-12-05	yes	yes
