City	Country	IATA	ICAO	Airport
Seoul	South Korea	ICN	RKSI	Incheon International Airport
Seoul	South Korea	GMP	RKSS	Gimpo International Airport
Jeju	South Korea	CJU	RKPC	Jeju International Airport
Siem Reap	Cambodia	REP	VDSR	Siem Reap International Airport
Sapporo	Japan	CTS	RJCC	New Chitose Airport
Nagasaki	Japan	NGS	RJFU	Nagasaki Airport
Okinawa	Japan	OKA	ROAH	Naha Airport
Fuzhou	China	FOC	ZSFZ	Fuzhou Changle International Airport
Shanghai	China	PVG	ZSPD	Shanghai Pudong International Airport
Hong Kong	Hong Kong	HKG	VHHH	Hong Kong International Airport
Macao	Macau	MFM	VMMC	Macao International Airport
Guam	Guam	GUM	PGUM	Antonio B. Won Pat International Airport
Taipei	Taiwan	TPE	RCTP	Taoyuan International Airport
Bangkok	Thailand	BKK	VTBS	Suvarnabhumi Airport
Chiang Mai	Thailand	CNX	VTCC	Chiang Mai International Airport
Vientiane	Laos	VTE	VLVT	Wattay International Airport
Cebu	Philippines	CEB	RPVM	Mactan Cebu International Airport
Clark	Philippines	CRK	RPLC	Clark International Airport
