Week	Date	Opponent	Result	Game site	Attendance
1	1994-09-04	at Buffalo Bills	W 23–3	Rich Stadium	79,460
2	1994-09-11	Denver Broncos	W 25–22 (OT)	The Meadowlands	73,436
3	1994-09-18	at Miami Dolphins	L 28–14	Joe Robbie Stadium	68,977
4	1994-09-25	Chicago Bears	L 19–7	The Meadowlands	70,806
5	1994-10-02	at Cleveland Browns	L 27–7	Cleveland Stadium	76,188
6	1994-10-09	Indianapolis Colts	W 16–6	The Meadowlands	64,934
7	1994-10-16	New England Patriots	W 24–17	The Meadowlands	71,123
8	Bye	Bye	Bye	Bye	Bye
9	1994-10-30	at Indianapolis Colts	L 28–25	RCA Dome	44,350
10	1994-11-06	Buffalo Bills	W 22–17	The Meadowlands	66,949
11	1994-11-13	at Green Bay Packers	L 17–10	Lambeau Field	58,307
12	1994-11-20	at Minnesota Vikings	W 31–21	Hubert H. Humphrey Metrodome	60,687
13	1994-11-27	Miami Dolphins	L 28–24	The Meadowlands	75,606
14	1994-12-04	at New England Patriots	L 24–13	Foxboro Stadium	60,138
15	1994-12-10	Detroit Lions	L 18–7	The Meadowlands	56,080
16	1994-12-18	San Diego Chargers	L 21–6	The Meadowlands	48,213
17	1994-12-24	at Houston Oilers	L 24–10	Astrodome	31,176
