Rider	Manufacturer	Laps	Time/Retired	Grid
Max Biaggi	Yamaha	21	44:01.592	2
Valentino Rossi	Honda	21	+0.542	8
Alex Barros	Honda	21	+1.572	1
Tohru Ukawa	Honda	21	+2.238	6
Daijiro Kato	Honda	21	+8.475	3
Shinya Nakano	Yamaha	21	+23.000	16
Carlos Checa	Yamaha	21	+24.360	5
Kenny Roberts, Jr.	Suzuki	21	+24.709	12
Loris Capirossi	Honda	21	+27.669	4
Norifumi Abe	Yamaha	21	+41.811	11
Akira Ryō	Suzuki	21	+42.603	18
Jeremy McWilliams	Proton KR	21	+45.761	7
Jurgen vd Goorbergh	Honda	21	+48.316	10
Sete Gibernau	Suzuki	21	+1:01.270	15
Garry McCoy	Yamaha	21	+1:13.096	9
José Luis Cardoso	Yamaha	21	+1:15.503	21
Régis Laconi	Aprilia	21	+1:21.513	20
John Hopkins	Yamaha	21	+1:42.684	19
Andrew Pitt	Kawasaki	21	+1:48.156	22
Nobuatsu Aoki	Proton KR	18	Retirement	13
Tetsuya Harada	Honda	11	Retirement	14
Olivier Jacque	Yamaha	3	Accident	17
