Nation	Height	Athlete	Venue	Date
CUB	2.45m(8ft0¼in)	Javier Sotomayor	Salamanca	1993-07-27
SWE	2.42m(7ft11¼in)	Patrik Sjöberg	Stockholm	1987-06-30
GER	2.42m(7ft11¼in)	Carlo Thränhardt	Berlin	1988-02-26
KGZ	2.41m(7ft10¾in)	Igor Paklin	Kobe	1985-09-04
UKR	2.41m(7ft10¾in)	Bohdan Bondarenko	Lausanne	4 July 2013
ROM	2.40m(7ft10¼in)	Sorin Matei	Bratislava	1990-06-20
USA	2.40m(7ft10¼in)	Charles Austin	Zürich	1991-08-07
RUS	2.40m(7ft10¼in)	Vyacheslav Voronin	London	2000-08-05
QAT	2.40m(7ft10¼in)	Mutaz Essa Barshim	Eugene	1 June 2013
PRC	2.39m(7ft10in)	Zhu Jianhua	Beijing	1983-06-11
SRB	2.38m(7ft9½in)	Dragutin Topic	Belgrad	1993-08-01
BAH	2.38m(7ft9½in)	Troy Kemp	Nice	1995-07-12
POL	2.38m(7ft9½in)	Artur Partyka	Eberstadt	1996-08-18
RSA	2.38m(7ft9½in)	Jacques Freitag	Oudtshoorn	2005-03-05
CAN	2.38m(7ft9½in)	Derek Drouin	Moscow	2013-08-15
AZE	2.37m(7ft9¼in)	Valeriy Sereda	Rieti	1984-09-02
GBR	2.37m(7ft9¼in) m	Steve Smith	Seoul	1992-09-20
GBR	2.37m(7ft9¼in) m	Steve Smith	Stuttgart	1993-08-22
GBR	2.37m(7ft9¼in) m	Robbie Grabarz	Lausanne	2012-08-23
BEL	2.36m(7ft8¾in)	Eddy Annys	Ghent	1985-05-26
SVK	2.36m(7ft8¾in)	Jan Zvara	Prague	1987-08-23
CZE	2.36m(7ft8¾in)	Jaroslav Baba	Rome	2005-07-08
BER	2.36m(7ft8¾in)	Clarence Saunders	Auckland	1990-02-01
BUL	2.36m(7ft8¾in)	Georgi Dakov	Brussels	1990-08-10
GRE	2.36m(7ft8¾in)	Lambros Papakostas	Athens	1992-07-21
AUS	2.36m(7ft8¾in)	Tim Forsyth	Melbourne	1997-03-02
NOR	2.36m(7ft8¾in)	Steinar Hoen	Oslo	1997-07-01
ISR	2.36m(7ft8¾in)	Konstantin Matusevich	Perth	2000-02-05
FRA	2.35m(7ft8½in)	Jean-Charles Gicquel	Paris	1994-03-13
CYP	2.35m(7ft8½in)	Kyriakos Ioannou	Osaka	2007-08-29
LTU	2.34m(7ft8in)	Rolandas Verkys	Warsaw	1991-06-16
ESP	2.34m(7ft8in)	Arturo Ortíz	Barcelona	1991-06-22
BLR	2.34m(7ft8in)	Andrey Sankovich	Gomel	1993-05-15
KOR	2.34m(7ft8in)	Lee Jin-Taek	Seoul	1997-06-20
ALG	2.34m(7ft8in)	Abderrahmane Hammad	Algiers	2000-07-14
JAM	2.34m(7ft8in)	Germaine Mason	Santo Domingo	2003-08-09
BOT	2.34m(7ft8in)	Kabelo Kgosiemang	Addis Ababa	2008-05-04
ITA	2.33m(7ft7½in)	Marcello Benvenuti	Verona	1989-09-12
COL	2.33m(7ft7½in)	Gilmar Mayo	Pereira	1994-10-17
JPN	2.33m(7ft7½in)	Naoyuki Daigo	Kobe	2006-07-02
UZB	2.32m(7ft7¼in)	Gennadiy Belkov	Tashkent	1982-05-29
BRA	2.32m(7ft7¼in)	Jessé de Lima	Lausanne	2008-09-02
SUI	2.31m(7ft6¾in)	Roland Dalhäuser	Eberstadt	1981-06-07
TJK	2.31m(7ft6¾in)	Oleg Palaschevskiy	Bryansk	1990-08-12
BIH	2.31m(7ft6¾in)	Elvir Krehmic	Zagreb	1998-07-07
FIN	2.31m(7ft6¾in)	Mika Polku	Hämeenkyrö	2000-07-22
FIN	2.31m(7ft6¾in)	Toni Huikuri	Bratislava	2002-06-11
NED	2.30m(7ft6½in)	Wilbert Pennings	Eberstadt	7 August 1999
PER	2.30m(7ft6½in)	Hugo Munoz	Lima	1995-10-29
EST	2.30m(7ft6½in)	Marko Turban	Rakvere	1996-06-05
LAT	2.30m(7ft6½in)	Normunds Sietiņš	Nurmijärvi	1992-07-20
IRL	2.30m(7ft6½in)	Adrian O'Dwyer	Algiers	2004-06-24
ISL	2.28m(7ft5¾in)	Einar Karl Hjartarson	Reykjavík	2001-02-20
MAS	2.27m(7ft5¼in)	Lee Hup Wei	Beijing	2008-05-25
SRI	2.27m(7ft5¼in)	Manjula Kumara Wijesekara	Colombo	2004-07-23
SRI	2.27m(7ft5¼in)	Manjula Kumara Wijesekara	Incheon	2005-09-04
