No. in series	No. in season	Title	Directed by	Written by	Original airdate	Production code
27–28	1–2	"Vengeance of Vilgax"	Dan Riba and Butch Lukic	Dwayne McDuffie	September11,2009	301–302
29	3	"Inferno"	John Fang	Len Uhley	September18,2009	303
30	4	"Fool's Gold"	Dan Riba	Eugene Son	September25,2009	304
31	5	"Simple"	Butch Lukic	Stan Berkowitz	October9,2009	305
32	6	"Vreedle, Vreedle"	John Fang	Charlotte Fullerton	October16,2009	306
33	7	"Singlehanded"	Dan Riba	Marty Isenberg	October23,2009	307
34	8	"If All Else Fails"	Butch Lukic	Adam Beecham	November6,2009	308
35	9	"In Charm's Way"	John Fang and Rick Morales	Peter David	November13,2009	309
36	10	"Ghost Town"	Dan Riba	Nicole Dubuc	November20,2009	310
37	11	"Trade-Off"	Dan Riba	Len Wein	December4,2009	311
38	12	"Busy Box"	Rick Morales	Jake Black	December11,2009	312
39	13	"Con of Rath"	Dan Riba	Len Uhley	January8,2010	313
40	14	"Primus"	Butch Lukic	Charlotte Fullerton	January15,2010	314
41	15	"Time Heals"	Rick Morales	Len Ulhey	January22,2010	315
42	16	"The Secret of Chromastone"	Dan Riba	Rick Fogel	January29,2010	316
43	17	"Above and Beyond"	Butch Lukic	Eugene Son	March12,2010	317
44	18	"Vendetta"	Rick Morales	Len Wein	March19,2010	318
