Name	Position	Party	Took office	Up for reelection
Phil Mendelson	Chairman	Democratic	2012	2014
David Grosso	At-large	Independent	2013	2016
David Catania	At-large	Independent	1997	2014
Anita Bonds	At-large	Democratic	2012	2014
Vincent Orange	At-large	Democratic	2011	2016
Jim Graham	Ward 1	Democratic	1999	2014
Jack Evans	Ward 2	Democratic	1991	2016
Mary Cheh	Ward 3	Democratic	2007	2014
Muriel Bowser	Ward 4	Democratic	2007	2016
Kenyan McDuffie	Ward 5	Democratic	2012	2014
Tommy Wells	Ward 6	Democratic	2007	2014
Yvette Alexander	Ward 7	Democratic	2007	2016
Marion Barry	Ward 8	Democratic	2005	2016
