Date	Host	Agg.	Visitor	Ground	Attendance	Tournament
February 13	SK Brann	0-2	Everton FC	Brann Stadion , Bergen	16,207	UEFA Cup
February 21	Everton FC	6-1	SK Brann	Goodison Park , Liverpool	38,000	UEFA Cup
March 30	SK Brann	4-2	Fredrikstad FK	Brann Stadion , Bergen	17,119	Tippeligaen
April 5	Aalesunds FK	4-2	SK Brann	Color Line Stadion , Ålesund	10,778	Tippeligaen
April 14	SK Brann	1-1	Strømsgodset IF	Brann Stadion , Bergen	17,282	Tippeligaen
April 19	Stabæk	3-0	SK Brann	Nadderud Stadion , Bærum	6,515	Tippeligaen
April 27	SK Brann	2-1	Lillestrøm SK	Brann Stadion , Bergen	17,228	Tippeligaen
May 3	Tromsø IL	0-0	SK Brann	Alfheim Stadion , Tromsø	7,285	Tippeligaen
May 12	Loddefjord IL	1-4	SK Brann	Alvøen gress, Bergen	3,231	Norwegian Cup
May 16	SK Brann	1-0	Vålerenga	Brann Stadion , Bergen	17,896	Tippeligaen
May 25	Viking FK	1-2	SK Brann	Viking Stadion , Stavanger	16,500	Tippeligaen
May 31	SK Brann	3-4	Molde FK	Brann Stadion , Bergen	17,710	Tippeligaen
June 4	Rosenborg BK	1-1	SK Brann	Lerkendal Stadion , Trondheim	20,011	Tippeligaen
June 7	Austevoll	2-3	SK Brann	Eidsbøen kunstgress, Austevoll	2,500	Norwegian Cup
June 28	Ham-Kam	0-0	SK Brann	Briskeby gressbane , Hamar	5,445	Tippeligaen
July 1	SK Brann	3-1	Valdres FK	Brann Stadion , Bergen	4,455	Norwegian Cup
July 5	SK Brann	4-1	Bodø/Glimt	Brann Stadion , Bergen	16,845	Tippeligaen
July 14	FC Lyn Oslo	1-1	SK Brann	Ullevaal Stadion , Oslo	6,558	Tippeligaen
July 20	SK Brann	1-2	Aalesunds FK	Brann Stadion , Bergen	17,655	Tippeligaen
July 23	Molde FK	8-0	SK Brann	Aker Stadion , Molde	4,452	Norwegian Cup
July 27	Fredrikstad FK	1-0	SK Brann	Nye Fredrikstad Stadion , Fredrikstad	12,292	Tippeligaen
July 29	SK Brann	1-0	FK Ventspils	Brann Stadion , Bergen	5,972	Champions League (Q)
August 2	SK Brann	4-1	Ham-Kam	Brann Stadion , Bergen	16,106	Tippeligaen
August 5	FK Ventspils	2-1	SK Brann	Ventspils Olimpiskais Stadions , Ventspils	2,000	Champions League (Q)
August 9	Strømsgodset IF	2-0	SK Brann	Marienlyst Stadion , Drammen	5,814	Tippeligaen
August 13	SK Brann	0-1	Marseille	Brann Stadion , Bergen	11,197	Champions League (Q)
August 24	SK Brann	0-0	Rosenborg BK	Brann Stadion , Bergen	17,552	Tippeligaen
August 27	Marseille	2-1	SK Brann	Stade Vélodrome , Marseille	55,000	Champions League (Q)
August 31	Bodø/Glimt	3-1	SK Brann	Aspmyra Stadion , Bodø	6,391	Tippeligaen
September 14	SK Brann	1-1	Viking FK	Brann Stadion , Bergen	17,296	Tippeligaen
September 18	SK Brann	2-0	Deportivo Coruña	Brann Stadion , Bergen	8,777	UEFA Cup
September 22	Lillestrøm SK	1-1	SK Brann	Åråsen Stadion , Lillestrøm	8,750	Tippeligaen
September 28	SK Brann	2-0	FC Lyn Oslo	Brann Stadion , Bergen	15,833	Tippeligaen
October 2	Deportivo Coruña	2-0	SK Brann	Estadio Riazor , A Coruña	19,000	UEFA Cup
October 6	Molde FK	3-2	SK Brann	Aker Stadion , Molde	6,969	Tippeligaen
October 19	SK Brann	1-2	Stabæk	Brann Stadion , Bergen	15,879	Tippeligaen
October 26	SK Brann	1-1	Tromsø IL	Brann Stadion , Bergen	16,006	Tippeligaen
November 2	Vålerenga	0-1	SK Brann	Ullevaal Stadion , Oslo	9,724	Tippeligaen
