Place	Player	Country	Score	To par
1	Brian Watts	United States	68-69-73=210	E
T2	Jim Furyk	United States	70-70-72=212	+2
T2	Mark O'Meara	United States	72-68-72=212	+2
T2	Jesper Parnevik	Sweden	68-72-72=212	+2
5	Justin Rose (a)	England	72-66-75=213	+3
T6	Thomas Bjørn	Denmark	68-71-76=215	+5
T6	Brad Faxon	United States	67-74-74=215	+5
T6	John Huston	United States	65-77-73=215	+5
T6	Tiger Woods	United States	65-73-77=215	+5
T10	David Duval	United States	70-71-75=216	+6
T10	Costantino Rocca	Italy	72-74-70=216	+6
T10	Raymond Russell	Scotland	68-73-75=216	+6
T10	Katsuyoshi Tomori	Japan	75-71-70=216	+6
