Draw	Artist	Song	Points	Place
1	Jonas Čepulis and Skirmantė	"Uosilėli žaliasai"	49	7
2	Alanas	"Geras jausmas"	35	9
3	Violeta Tarasovienė	"Aš būsiu šalia"	74	3
4	Milana	"Ar tu mane matei"	30	12
5	Vilius Tarasovas	"Aš tik tavim tikiu"	64	4
6	Augustė	"Not The Best Time"	41	8
7	Darius Pranckevičius and Violeta Valskytė	"Nelytėta viltis"	78	2
8	Kamilė	"No Way to Run"	33	10
9	Sasha Son	"Pasiklydęs žmogus"	92	1
10	Vita Rusaitytė	"Dar pabūkim drauge"	33	10
11	69 danguje	"Meilės simfonija"	62	5
12	Egidijus Sipavičius	"Per mažai"	56	6
