Year (Ceremony)	English title	Spanish title	Director	Result
1978 (51st)	Viva el Presidente	El Recurso del método	Miguel Littín Category:Articles with hCards	Not Nominated
1987 (60th)	A Successful Man	Un hombre de éxito	Humberto Solás Category:Articles with hCards	Not Nominated
1988 (61st)	Letters from the Park	Cartas del parque	Tomás Gutiérrez Alea Category:Articles with hCards	Not Nominated
1989 (62nd)	Supporting Roles	Papeles secundarios	Orlando Rojas Category:Articles with hCards	Not Nominated
1991 (64th)	Hello Hemingway	Hello Hemingway	Fernando Perez Category:Articles with hCards	Not Nominated
1992 (65th)	Adorable Lies	Adorables mentiras	Gerardo Chijona Category:Articles with hCards	Not Nominated
1994 (67th)	Strawberry and Chocolate	Fresa y chocolate	Tomás Gutiérrez Alea & Juan Carlos Tabíos	Nominee
1996 (69th)	Think of Me	Pon tu pensamiento en mí	Arturo Sotto Díaz Category:Articles with hCards	Not Nominated
1997 (70th)	Vertical Love	Amor vertical	Arturo Sotto Díaz Category:Articles with hCards	Not Nominated
2002 (75th)	Nothing More	Nada	Juan Carlos Cremata Category:Articles with hCards	Not Nominated
2003 (76th)	Suite Habana	Suite Habana	Fernando Perez Category:Articles with hCards	Not Nominated
2005: (78th)	Viva Cuba	Viva Cuba	Juan Carlos Cremata Category:Articles with hCards	Not Nominated
2006 (79th)	El Benny	El Benny	Jorge Luis Sánchez Category:Articles with hCards	Not Nominated
2007 (80th)	The Silly Age	La edad de la peseta	Pavel Giroud Category:Articles with hCards	Not Nominated
2009 (82nd)	Fallen Gods	Los dioses Rotos	Ernesto Daranas Category:Articles with hCards	Not Nominated
