Place	Player	Country	Score	To par
T1	Chad Campbell	United States	69-72-65=206	–4
T1	Shaun Micheel	United States	69-68-69=206	–4
3	Mike Weir	Canada	68-71-70=209	–1
4	Tim Clark	South Africa	72-70-68=210	E
T5	Billy Andrade	United States	67-72-72=211	+1
T5	Briny Baird	United States	73-71-67=211	+1
T5	Alex Čejka	Germany	74-69-68=211	+1
T5	Ernie Els	South Africa	71-70-70=211	+1
T9	Fred Funk	United States	69-73-70=212	+2
T9	Charles Howell III	United States	70-72-70=212	+2
T9	Vijay Singh	Fiji	69-73-70=212	+2
