Game	December	Opponent	Score	Record	Points
26	2	@ Buffalo Sabres	4–2	14–7–4–1	33
27	4	@ Montreal Canadiens	3–2	15–7–4–1	35
28	5	St. Louis Blues	3–2	16–7–4–1	37
29	9	Toronto Maple Leafs	4–2	17–7–4–1	39
30	11	@ Toronto Maple Leafs	4–6	17–8–4–1	39
31	14	@ Buffalo Sabres	1–3	17–9–4–1	39
32	16	Phoenix Coyotes	5–3	18–9–4–1	41
33	18	Tampa Bay Lightning	4–0	19–9–4–1	43
34	19	Nashville Predators	1–1 OT	19–9–5–1	44
35	22	@ New Jersey Devils	2–3	19–10–5–1	44
36	23	Atlanta Thrashers	4–4 OT	19–10–6–1	45
37	27	@ Calgary Flames	5–1	20–10–6–1	47
38	29	@ Vancouver Canucks	3–2 OT	21–10–6–1	49
