Week	Date	Opponent	Result	Record	Game Site	TV Time	Attendance
1	September 12, 1999	Buffalo Bills	W 31–14	1–0	RCA Dome	CBS 1:00pm	56,238
2	September 19, 1999	at New England Patriots	L 28–31	1–1	Foxboro Stadium	CBS 1:00pm	59,640
3	September 26, 1999	at San Diego Chargers	W 27–19	2–1	Qualcomm Stadium	CBS 4:15pm	56,942
4	Bye	Bye	Bye	Bye	Bye	Bye	Bye
5	October 10, 1999	Miami Dolphins	L 31–34	2–2	RCA Dome	CBS 1:00pm	56,810
6	October 17, 1999	at New York Jets	W 16–13	3–2	The Meadowlands	CBS 1:00pm	78,112
7	October 24, 1999	Cincinnati Bengals	W 31–10	4–2	RCA Dome	CBS 1:00pm	55,996
8	October 31, 1999	Dallas Cowboys	W 34–24	5–2	RCA Dome	FOX 4:15pm	56,860
9	November 7, 1999	Kansas City Chiefs	W 25–17	6–2	RCA Dome	CBS 1:00pm	56,689
10	November 14, 1999	at New York Giants	W 27–19	7–2	Giants Stadium	CBS 1:00pm	78,081
11	November 21, 1999	at Philadelphia Eagles	W 44–17	8–2	Veterans Stadium	CBS 1:00pm	65,521
12	November 28, 1999	New York Jets	W 13–6	9–2	RCA Dome	CBS 4:15pm	56,689
13	December 5, 1999	at Miami Dolphins	W 37–34	10–2	Pro Player Stadium	CBS 1:00pm	74,096
14	December 12, 1999	New England Patriots	W 20–15	11–2	RCA Dome	CBS 1:00pm	56,975
15	December 19, 1999	Washington Redskins	W 24–21	12–2	RCA Dome	FOX 1:00pm	57,013
16	December 26, 1999	at Cleveland Browns	W 29–28	13–2	Cleveland Browns Stadium	CBS 1:00pm	72,618
17	January 2, 2000	at Buffalo Bills	L 6–31	13–3	Ralph Wilson Stadium	CBS 1:00pm	61,959
