Place	Player	Country	Score	To par	Money ( $ )
1	Nick Price	Zimbabwe	67-65-70-67=269	–11	310,000
2	Corey Pavin	United States	70-67-69-69=275	–5	160,000
3	Phil Mickelson	United States	68-71-67-70=276	–4	110,000
T4	John Cook	United States	71-67-69-70=277	–3	76,667
T4	Nick Faldo	England	73-67-71-66=277	–3	76,667
T4	Greg Norman	Australia	71-69-67-70=277	–3	76,667
T7	Steve Elkington	Australia	73-70-66-69=278	–2	57,500
T7	José María Olazábal	Spain	72-66-70-70=278	–2	57,500
T9	Ben Crenshaw	United States	70-67-70-72=279	–1	41,000
T9	Tom Kite	United States	72-68-69-70=279	–1	41,000
T9	Loren Roberts	United States	69-72-67-71=279	–1	41,000
T9	Tom Watson	United States	69-72-67-71=279	–1	41,000
T9	Ian Woosnam	Wales	68-72-73-66=279	–1	41,000
