Episode #	Season #	Title	Writer(s)	Director	Originalairdate
14	2	"Mutation City"	Glenn Leopold	Robert Alvarez	September10,1994
15	2	"A Bright and Shiny Future"	Glenn Leopold	Robert Alvarez	September17,1994
16	2	"When Mutilor Strikes"	Lance Falk	Robert Alvarez	September24,1994
17	2	"Razor's Edge"	Mark Saraceni	Robert Alvarez	October29,1994
18a	2	"Cry Turmoil"	Lance Falk	Robert Alvarez	November5,1994
18b	2	"SWAT Kats Unplugged"	Glenn Leopold	Robert Alvarez	November5,1994
19	2	"The Deadly Pyramid"	Glenn Leopold	Robert Alvarez	November12,1994
20	2	"Caverns of Horror"	Glenn Leopold	Robert Alvarez	November19,1994
21a	2	"Volcanus Erupts!"	Glenn Leopold	Robert Alvarez	November26,1994
21b	2	"The Origin of Dr. Viper"	Glenn Leopold	Robert Alvarez	November26,1994
22	2	"The Dark Side of the SWAT Kats"	Jim Katz	Robert Alvarez	December10,1994
