Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
18	December 1	Warriors	W 135–107 (OT)	Carmelo Anthony (25)	Nenê (12)	Chauncey Billups (8)	Pepsi Center 14,570	13-5
19	December 3	Heat	W 114–96 (OT)	Carmelo Anthony (22)	Chris Andersen (10)	Chauncey Billups (7)	Pepsi Center 14,998	14-5
20	December 5	@ Spurs	W 106–99 (OT)	Carmelo Anthony (34)	Kenyon Martin (13)	Chauncey Billups (5)	AT&T Center 17,592	15-5
21	December 7	@ 76ers	W 93–83 (OT)	Chauncey Billups (31)	Chauncey Billups (8)	Chauncey Billups (8)	Wachovia Center 20,664	16-5
22	December 8	@ Bobcats	L 95–107 (OT)	Carmelo Anthony (34)	Nenê (10)	J.R. Smith (4)	Time Warner Cable Arena 14,127	16-6
23	December 10	@ Pistons	L 99–101 (OT)	Carmelo Anthony (40)	Nenê (11)	Ty Lawson (4)	The Palace of Auburn Hills 17,176	16-7
24	December 12	Suns	W 105–99 (OT)	Carmelo Anthony (32)	Chris Andersen (10)	Chauncey Billups (8)	Pepsi Center 19,155	17-7
25	December 14	Thunder	W 102–93 (OT)	Carmelo Anthony (31)	Chris Andersen , Kenyon Martin (11)	Chauncey Billups (7)	Pepsi Center 16,022	18-7
26	December 16	Rockets	W 111–101 (OT)	Carmelo Anthony (38)	Chris Andersen (11)	Ty Lawson (6)	Pepsi Center 15,753	19-7
27	December 18	@ Hornets	L 92–98 (OT)	J.R. Smith (25)	Kenyon Martin (13)	Anthony Carter (5)	New Orleans Arena 14,453	19-8
28	December 20	@ Grizzlies	L 96–102 (OT)	Carmelo Anthony (41)	Chris Andersen (14)	Anthony Carter (7)	FedExForum 13,385	19-9
29	December 23	Hawks	W 124–104 (OT)	J.R. Smith (41)	Kenyon Martin , Nenê (8)	Carmelo Anthony , Anthony Carter (7)	Pepsi Center 19,155	20-9
30	December 25	@ Trail Blazers	L 96–107 (OT)	Carmelo Anthony (32)	Kenyon Martin (14)	Chauncey Billups (5)	Rose Garden Arena 20,664	20-10
