No. in series	No. in season	Title	Directed by	Written by	Original air date	U.S. viewers (millions)
8	1	"Seven Thirty-Seven"	Bryan Cranston	J. Roberts	March8,2009	1.66
9	2	"Grilled"	Charles Haid	George Mastras	March15,2009	N/A
10	3	"Bit by a Dead Bee"	Terry McDonough	Peter Gould	March22,2009	1.13
11	4	"Down"	John Dahl	Sam Catlin	March29,2009	1.29
12	5	"Breakage"	Johan Renck	Moira Walley-Beckett	April5,2009	1.21
13	6	"Peekaboo"	Peter Medak	J. Roberts & Vince Gilligan	April12,2009	1.41
14	7	"Negro y Azul"	Felix Alcala	John Shiban	April19,2009	N/A
15	8	"Better Call Saul"	Terry McDonough	Peter Gould	April26,2009	1.04
16	9	"4 Days Out"	Michelle MacLaren	Sam Catlin	May3,2009	N/A
17	10	"Over"	Phil Abraham	Moira Walley-Beckett	May10,2009	N/A
18	11	"Mandala"	Adam Bernstein	George Mastras	May17,2009	N/A
19	12	"Phoenix"	Colin Bucksey	John Shiban	May24,2009	N/A
