Date	U-boat	Name	Nationality	Tonnage (GRT)	Fate
21 November 1939	U-21	HMSBelfast	UK	11,500	Damaged (mine)
1 December 1939	U-21	Mercator	Finland	4,620	Sunk
21 December 1939	U-21	Carl Henckel	Sweden	1,352	Sunk
21 December 1939	U-21	HMS Bayonet	UK	605	Sunk (mine)
21 December 1939	U-21	Mars	Sweden	1,475	Sunk
31 January 1940	U-21	Vidar	Denmark	1,353	Sunk
24 February 1940	U-21	Royal Archer	UK	2,266	Sunk (mine)
26 May 1940	U-101	Stanhall	UK	4,831	Sunk
31 May 1940	U-101	Orangemoor	UK	5,775	Sunk
2 June 1940	U-101	Polycarp	UK	3,577	Sunk
11 June 1940	U-101	Mount Hymettus	Greece	5,820	Sunk
12 June 1940	U-101	Earlspark	UK	5,250	Sunk
14 June 1940	U-101	Antonis Georgandis	Greece	3,557	Sunk
16 June 1940	U-101	Wellington Star	UK	13,212	Sunk
19 August 1940	U-101	Ampleforth	UK	4,576	Sunk
28 August 1940	U-101	Elle	Finland	3,868	Sunk
1 September 1940	U-101	Efploia	Greece	3,867	Sunk
12 October 1940	U-101	Saint-Malo	Canada	5,799	Sunk
18 October 1940	U-101	Blairspey	UK	4,155	Damaged
18 October 1940	U-101	Creekirk	UK	3,917	Sunk
19 October 1940	U-101	Assyrian	UK	2,962	Sunk
19 October 1940	U-101	Soesterberg	Netherlands	1,904	Sunk
