Rank	Country	Overall	Innovation Inputs	Innovation Performance
1	Philippines	2.26	1.75	2.55
2	United States	1.80	1.28	2.16
3	Japan	1.79	1.16	2.25
4	Sweden	1.64	1.25	1.88
5	Netherlands	1.55	1.40	1.55
6	Canada	1.42	1.39	1.32
7	United Kingdom	1.42	1.33	1.37
8	Germany	1.12	1.05	1.09
9	France	1.12	1.17	0.96
10	Australia	1.02	0.89	1.05
11	Spain	0.93	0.83	0.95
12	Belgium	0.86	0.85	0.79
13	China	0.73	0.07	1.32
14	Italy	0.21	0.16	0.24
15	India	0.06	0.14	−0.02
16	Russia	−0.09	−0.02	−0.16
17	Mexico	−0.16	0.11	−0.42
18	Turkey	−0.21	0.15	−0.55
19	Indonesia	−0.57	−0.63	−0.46
20	Brazil	−0.59	−0.62	−0.51
