Outcome	Year	Championship	Surface	Partner	Opponents	Score
Winner	1992	Australian Open , Melbourne	Hard	Mark Woodforde	Kelly Jones Rick Leach	6–4, 6–3, 6–4
Winner	1993	Wimbledon , London	Grass	Mark Woodforde	Grant Connell Patrick Galbraith	7–5, 6–3, 7–6(4)
Winner	1994	Wimbledon, London	Grass	Mark Woodforde	Grant Connell Patrick Galbraith	7–6, 6–3, 6–1
Runner-up	1994	US Open , New York	Hard	Mark Woodforde	Jacco Eltingh Paul Haarhuis	3–6, 6–7 (6–8)
Winner	1995	Wimbledon, London	Grass	Mark Woodforde	Rick Leach Scott Melville	7–5, 7–6, 7–6
Winner	1995	US Open, New York	Hard	Mark Woodforde	Alex O'Brien Sandon Stolle	6–3, 6–3
Winner	1996	Wimbledon, London	Grass	Mark Woodforde	Byron Black Grant Connell	4–6, 6–1, 6–3, 6–2
Winner	1996	US Open, New York	Hard	Mark Woodforde	Jacco Eltingh Paul Haarhuis	4–6, 7–6, 7–6
Winner	1997	Australian Open, Melbourne	Hard	Mark Woodforde	Sébastien Lareau Alex O'Brien	4–6, 7–5, 7–5, 6–3
Runner-up	1997	French Open , Paris	Clay	Mark Woodforde	Yevgeny Kafelnikov Daniel Vacek	6–7 (12–14) , 6–4, 3–6
Winner	1997	Wimbledon, London	Grass	Mark Woodforde	Jacco Eltingh Paul Haarhuis	7–6, 7–6, 5–7, 6–3
Runner-up	1998	Australian Open, Melbourne	Hard	Mark Woodforde	Jonas Björkman Jacco Eltingh	2–6, 7–5, 6–2, 4–6, 3–6
Runner-up	1998	Wimbledon, London	Grass	Mark Woodforde	Jacco Eltingh Paul Haarhuis	6–2, 4–6, 6–7 (3–7) , 7–5, 8–10
Winner	2000	French Open, Paris	Clay	Mark Woodforde	Paul Haarhuis Sandon Stolle	7–6, 6–4
Winner	2000	Wimbledon, London	Grass	Mark Woodforde	Paul Haarhuis Sandon Stolle	6–3, 6–4, 6–1
Winner	2001	Australian Open, Melbourne	Hard	Jonas Björkman	Byron Black David Prinosil	6–1, 5–7, 6–4, 6–4
Winner	2002	Wimbledon, London	Grass	Jonas Björkman	Mark Knowles Daniel Nestor	6–1, 6–2, 6–7 (7–9) , 7–5
Winner	2003	Wimbledon, London	Grass	Jonas Björkman	Mahesh Bhupathi Max Mirnyi	3–6, 6–3, 7–6 (7–4) , 6–3
Winner	2003	US Open, New York	Hard	Jonas Björkman	Bob Bryan Mike Bryan	5–7, 6–0, 7–5
Winner	2004	Wimbledon, London	Grass	Jonas Björkman	Julian Knowle Nenad Zimonjić	6–1, 6–4, 4–6, 6–4
