Place	Player	Country	Score	To par
1	Ian Baker-Finch	Australia	68-66=134	–10
T2	Seve Ballesteros	Spain	69-68=137	–7
T2	Nick Faldo	England	69-68=137	–7
T2	Lee Trevino	United States	70-67=137	–7
5	Bill Longmuir	Scotland	67-71=138	–-6
T6	Fred Couples	United States	70-69=139	–5
T6	Bernhard Langer	West Germany	71-68=139	–5
T6	Lanny Wadkins	United States	70-69=139	–5
T6	Tom Watson	United States	71-68=139	–5
T10	Jaime Gonzalez	Brazil	69-71=140	–4
T10	Peter Jacobsen	United States	67-73=140	–4
T10	Tom Kite	United States	69-71=140	–4
