Draft	Pick	Player	Club	Games	Goals
1998N	10	Brandon Hill Category:Articles with hCards	West Coast	0	0
1999R	2	Darren Bolton Category:Articles with hCards	Fremantle	2	0
2000R	49	Dale Walkingshaw Category:Articles with hCards	Fremantle	0	0
2001R	4	Dean Buszan Category:Articles with hCards	West Coast	0	0
2001R	36	Daniel Haines Category:Articles with hCards	Fremantle	16	4
2002N	2	Daniel Wells Category:Articles with hCards	Kangaroos	164	96
2003N	4	Farren Ray Category:Articles with hCards	Western Bulldogs	137	46
2005R	5	Ryan Nye Category:Articles with hCards	Adelaide	0	0
2005R	40	Ashley Thornton Category:Articles with hCards	West Coast	0	0
2005N	20	Paul Bower Category:Articles with hCards	Carlton	60	3
2005N	28	Matt Riggio Category:Articles with hCards	Kangaroos	10	0
2005N	54	Kristin Thornton Category:Articles with hCards	Sydney	6	3
2006N	2	Scott Gumbleton Category:Articles with hCards	Essendon	22	22
2006N	38	James Hawksley Category:Articles with hCards	Brisbane Lions	23	0
2006N	47	Kyle Reimers Category:Articles with hCards	Essendon	47	50
2006N	52	Brock O'Brien Category:Articles with hCards	Fremantle	3	1
2007R	18	Danny Chartres Category:Articles with hCards	Essendon	0	0
2008N	21	Hayden Ballantyne Category:Articles with hCards	Fremantle	75	111
2009N	4	Anthony Morabito Category:Articles with hCards	Fremantle	23	13
2009N	25	Aaron Black Category:Articles with hCards	North Melbourne	1	1
2010R	20	Ben Howlett Category:Articles with hCards	Essendon	26	11
2010N	2	Harley Bennell Category:Articles with hCards	Gold Coast	5	3
2011P	2	Blayne Wilson Category:Articles with hCards	West Coast	1	0
2011R	48	Kelvin Lawrence Category:Articles with hCards	Melbourne	0	0
