Place	Player	Country	Score	To par
T1	Tiger Woods	United States	69-68-65=202	–14
T1	Luke Donald	England	68-68-66=202	–14
3	Mike Weir	Canada	72-67-65=204	–12
4	Geoff Ogilvy	Australia	69-68-68=205	–11
T5	Shaun Micheel	United States	69-70-67=206	–10
T5	Sergio García	Spain	69-70-67=206	–10
7	K. J. Choi	South Korea	73-67-67=207	–9
T8	Chris DiMarco	United States	71-70-67=208	–8
T8	Tim Herron	United States	69-67-72=208	–8
T8	Phil Mickelson	United States	69-71-68=208	–8
T8	Ian Poulter	England	70-70-68=208	–8
