Name	Latitude	Longitude	Diameter (km)	Year named	Name origin
Aitchison Patera	16.7S	349.4E	28.0	1994	Alison; American geographer.
Anning Paterae	66.5N	57.8E	0.0	1991	Mary; English paleontologist (1799–1847).
Anthony Patera	48.2N	32.6E	70.0	1991	Susan B.; American suffrage leader (1820–1906).
Apgar Patera	43.1N	83.8E	126.0	1991	Virginia; American doctor (1909–1974).
Ayrton Patera	6.0N	227.3E	85.0	1994	Hertha M.; English physicist (1854–1923).
Bakhtadze Patera	45.5N	219.5E	50.0	1997	Kseniya; Georgian tea genetist (1899–1978).
Bethune Patera	46.5N	321.3E	94.0	1991	Mary; American educator (1875–1955).
Carriera Patera	48.6N	48.8E	97.0	1991	Rosalba; Italian portrait painter (1675–1757).
Colette Patera	66.3N	322.8E	149.0	1982	Claudine; French novelist (1873–1954).
Corday Patera	62.7N	40.2E	135.0	1991	Charlotte; French patriot (1768–1798).
Darclée Patera	37.4S	263.8E	15.0	2006	Hariclea; Romanian soprano singer (1860–1939).
Garland Patera	32.7N	206.8E	45.0	2006	Judy; American singer and actress (1922–1969).
Grizodubova Patera	16.7N	299.6E	50.0	1997	Valentina; Soviet aviatrix (1910–1993).
Hatshepsut Patera	28.1N	64.5E	118.0	1985	Egyptian pharaoh (1479 B.C.).
Hroswitha Patera	35.8N	34.8E	163.0	1985	German writer (c. A.D. 935-975).
Izumi Patera	50.0N	193.6E	74.0	1985	Sikibu; Japanese writer (974-1036).
Jaszai Patera	32.0N	305.0E	70.0	1997	Mary; Hungarian actress (1850–1926).
Jotuni Patera	6.5S	214.0E	100.0	1997	Maria; Finnish writer (1880–1943).
Keller Patera	45.0N	274.0E	69.0	1991	Helen; blind and deaf American writer (1880–1968).
Kottauer Patera	36.7N	39.6E	136.0	1985	Helena; Austrian historical writer (1410–1471).
Kupo Patera	41.9S	195.5E	100.0	1997	Irena; Israelite astronomer (1929–1978).
Ledoux Patera	9.2S	224.8E	75.0	1994	Jeanne; French artist (1767–1840).
Lindgren Patera	28.1N	241.4E	110.0	2006	Astrid; Swedish author (1907–2002).
Mehseti Patera	16.0N	311.0E	60.0	1997	Ganjevi; Azeri/Persian poet (c. 1050-c. 1100).
Mezrina Patera	33.3S	68.8E	60.0	2000	Anna; Russian clay toy sculptor (1853–1938).
Nordenflycht Patera	35.0S	266.0E	140.0	1997	Hedwig; Swedish poet (1718–1763).
Panina Patera	13.0S	309.8E	50.0	1997	Varya; Gypsy/Russian singer (1872–1911).
Payne-Gaposchkin Patera	25.5S	196.0E	100.0	1997	Cecilia Helena; American astronomer (1900–1979).
Pocahontas Patera	64.9N	49.4E	78.0	1991	Powhatan Indian peacemaker (1595–1617).
Raskova Paterae	51.0S	222.8E	80.0	1994	Marina M.; Russian aviator (1912–1943).
Razia Patera	46.2N	197.8E	157.0	1985	Queen of Delhi Sultanate (India) (1236–1240).
Shulzhenko Patera	6.5N	264.5E	60.0	1997	Klavdiya; Soviet singer (1906–1984).
Siddons Patera	61.6N	340.6E	47.0	1997	Sarah; English actress (1755–1831).
Stopes Patera	42.6N	46.5E	169.0	1991	Marie; English paleontologist (1880–1959).
Tarbell Patera	58.2S	351.5E	80.0	1994	Ida; American author, editor (1857–1944).
Teasdale Patera	67.6S	189.1E	75.0	1994	Sara; American poet (1884–1933).
Tey Patera	17.8S	349.1E	20.0	1994	Josephine; Scottish author (1897–1952).
Tipporah Patera	38.9N	43.0E	99.0	1985	Hebrew medical scholar (1500 B.C.).
Vibert-Douglas Patera	11.6S	194.3E	45.0	2003	Allie; Canadian astronomer (1894–1988).
Villepreux-Power Patera	22.0S	210.0E	100.0	1997	Jeannette; French marine biologist (1794–1871).
Wilde Patera	21.3S	266.3E	75.0	2000	Lady Jane Francesca; Irish poet (1821–1891).
Witte Patera	25.8S	247.65E	35.0	2006	Wilhelmine; German astronomer (1777–1854).
Woodhull Patera	37.4N	305.4E	83.0	1991	Victoria; American-English lecturer (1838–1927).
