Rank	Nation	Gold	Silver	Bronze	Total
1	Russia	42	29	29	100
2	China	38	22	13	73
3	Germany	7	10	13	30
4	Italy	7	8	14	29
5	Ukraine	5	6	15	26
6	Kenya	5	5	2	12
7	Uzbekistan	5	2	7	14
8	Poland	4	5	7	16
9	Slovenia	4	4	1	9
10	Saudi Arabia	4	0	1	5
11	North Korea	3	8	10	21
12	Greece	3	5	3	11
13	Turkey	3	2	4	9
14	Belarus	2	10	11	23
15	United States	2	6	2	10
16	South Korea	2	4	7	13
17	Norway	2	3	0	5
18	Romania	2	2	5	9
19	Austria	2	1	9	12
20	India (host)	2	1	7	10
21	Slovakia	2	1	1	4
22	Netherlands	2	0	2	4
23	Belgium	2	0	0	2
24	Qatar	1	2	2	5
25	Sudan	1	1	1	3
26	Morocco	1	1	0	2
27	Sri Lanka	1	0	1	2
28	Ecuador	1	0	0	1
28	Egypt	1	0	0	1
28	Estonia	1	0	0	1
31	Azerbaijan	0	3	1	4
32	Iran	0	2	2	4
33	Latvia	0	2	1	3
33	Brazil	0	2	1	3
33	Finland	0	2	1	3
36	France	0	1	5	6
37	Bahrain	0	1	3	4
38	Czech Republic	0	1	2	3
39	Switzerland	0	1	1	2
39	Tunisia	0	1	1	2
41	Bulgaria	0	1	0	1
41	Cameroon	0	1	0	1
41	Hungary	0	1	0	1
44	Lithuania	0	0	6	6
45	Algeria	0	0	4	4
46	United Arab Emirates	0	0	2	2
47	Spain	0	0	1	1
47	Afghanistan	0	0	1	1
47	Denmark	0	0	1	1
Source	Source	Source	Source	Source	Source
