Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
18	December 1	@ New Orleans	L 73–89 (OT)	Gerald Wallace (18)	Tyrus Thomas (10)	D. J. Augustin (6)	New Orleans Arena 10,866	6–12
19	December 3	New Jersey	W 91–84 (OT)	Stephen Jackson (25)	Boris Diaw (16)	Boris Diaw (8)	Time Warner Cable Arena 12,183	7–12
20	December 4	@ Philadelphia	L 91–109 (OT)	Boris Diaw (19)	Kwame Brown (7)	Boris Diaw (6)	Wells Fargo Center 14,611	7–13
21	December 7	Denver	W 100–98 (OT)	Stephen Jackson (23)	Stephen Jackson , Gerald Wallace (9)	Stephen Jackson (7)	Time Warner Cable Arena 15,737	8–13
22	December 10	@ Indiana	L 92–100 (OT)	Gerald Wallace (26)	Gerald Wallace (13)	Stephen Jackson (8)	Conseco Fieldhouse 13,128	8–14
23	December 11	Boston	L 62–93 (OT)	Nazr Mohammed (14)	Kwame Brown (9)	Stephen Jackson (7)	Time Warner Cable Arena 19,603	8–15
24	December 14	Toronto	W 97–91 (OT)	Nazr Mohammed (18)	Nazr Mohammed (8)	D. J. Augustin (7)	Time Warner Cable Arena 12,482	9–15
25	December 15	@ Memphis	L 80–113 (OT)	Stephen Jackson (16)	Dominic McGuire (7)	D. J. Augustin (7)	FedExForum 12,219	9–16
26	December 17	@ Atlanta	L 85–90 (OT)	D. J. Augustin , Boris Diaw (22)	Dominic McGuire (17)	Shaun Livingston (5)	Philips Arena 15,006	9–17
27	December 20	@ Washington	L 75–108 (OT)	Stephen Jackson (13)	Boris Diaw (7)	D. J. Augustin , Boris Diaw (4)	Verizon Center 13,825	9–18
28	December 21	Oklahoma City	L 81–99 (OT)	Stephen Jackson (20)	Boris Diaw (7)	Boris Diaw (8)	Time Warner Cable Arena 16,876	9–19
29	December 27	Detroit	W 105–100 (OT)	D. J. Augustin (27)	Stephen Jackson (9)	Boris Diaw (6)	Time Warner Cable Arena 14,418	10–19
