Name	Confederation	International goals	Caps	Goals per Match
Ali Daei	AFC	109	149	0.73
Ferenc Puskás	UEFA	84	85	0.96
Kunishige Kamamoto	AFC	80	84	0.95
Godfrey Chitalu	CAF	78	108	0.72
Pelé	CONMEBOL	77	92	0.84
Sándor Kocsis	UEFA	75	68	1.10
Bashar Abdullah	AFC	75	133	0.56
Majed Abdullah	AFC	71	116	0.61
Stern John	CONCACAF	70	115	0.61
Kiatisuk Senamuang	AFC	70	131	0.54
Gerd Müller	UEFA	68	62	1.10
Miroslav Klose	UEFA	68	130	0.53
Hossam Hassan	CAF	68	176	0.39
Jassem Al-Houwaidi	AFC	63	74	0.85
Ronaldo	CONMEBOL	62	98	0.63
Didier Drogba	CAF	62	97	0.64
Hussein Saeed	AFC	61	126	0.48
Robbie Keane	UEFA	61	130	0.47
Imre Schlosser	UEFA	59	68	0.87
Carlos Pavón	CONCACAF	57	101	0.56
Landon Donovan	CONCACAF	57	154	0.37
Gabriel Batistuta	CONMEBOL	56	78	0.72
David Villa	UEFA	56	93	0.60
Romário	CONMEBOL	55	70	0.79
Kazuyoshi Miura	AFC	55	89	0.62
Jan Koller	UEFA	55	91	0.60
Fandi Ahmad	AFC	55	101	0.55
Joachim Streich	UEFA	55	102	0.54
Carlos Ruiz	CONCACAF	55	104	0.53
Samuel Eto'o	CAF	55	113	0.48
Cha Bum-Kun	AFC	55	121	0.46
Poul Nielsen	UEFA	52	38	1.37
Jon Dahl Tomasson	UEFA	52	112	0.46
Adnan Al Talyani	AFC	52	161	0.32
Lajos Tichy	UEFA	51	72	0.71
Hakan Şükür	UEFA	51	112	0.46
Thierry Henry	UEFA	51	123	0.41
Karim Bagheri	AFC	50	87	0.57
Hwang Sun-Hong	AFC	50	103	0.48
