Date	Visiting Team	Final Score	Host Team	Stadium
September 6	Oakland Raiders	8-28	Kansas City Chiefs	Arrowhead Stadium
September 13	Indianapolis Colts	6-29	New England Patriots	Foxboro Stadium
September 20	Philadelphia Eagles	3-17	Arizona Cardinals	Sun Devil Stadium
September 27	Cincinnati Bengals	24-31	Baltimore Ravens	Ravens Stadium at Camden Yards
October 4	Seattle Seahawks	6-17	Kansas City Chiefs	Arrowhead Stadium
October 11	Atlanta Falcons	34-20	New York Giants	Giants Stadium
October 15	Green Bay Packers	20-27	Detroit Lions	Pontiac Silverdome
October 25	Buffalo Bills	30-14	Carolina Panthers	Ericsson Stadium
November 1	Oakland Raiders	31-18	Seattle Seahawks	Kingdome
November 8	Tennessee Oilers	31-22	Tampa Bay Buccaneers	Raymond James Stadium
November 15	Chicago Bears	3-26	Detroit Lions	Pontiac Silverdome
November 22	New Orleans Saints	20-31	San Francisco 49ers	3Com Park
November 29	Denver Broncos	31-16	San Diego Chargers	Qualcomm Stadium
December 3	St. Louis Rams	14-17	Philadelphia Eagles	Veterans Stadium
December 6	Chicago Bears	22-48	Minnesota Vikings	Hubert H. Humphrey Metrodome
December 13	New York Jets	21-16	Miami Dolphins	Pro Player Stadium
December 20	Jacksonville Jaguars	10-50	Minnesota Vikings	Hubert H. Humphrey Metrodome
December 27	Washington Redskins	7-23	Dallas Cowboys	Texas Stadium
