State	Interview	Swimsuit	Evening gown	Average
Alabama	9.16	8.04	8.86	8.687
Alaska	8.07	7.65	7.83	7.850
Arizona	8.80	7.95	8.49	8.413
Arkansas	9.03	8.26	8.77	8.687
California	9.29	8.85	9.12	9.087
Colorado	8.51	8.71	8.54	8.587
Connecticut	8.89	8.58	8.49	8.653
Delaware	8.27	8.32	8.54	8.377
District of Columbia	9.03	8.12	9.08	8.743
Florida	8.69	8.76	9.02	8.823
Georgia	9.14	9.06	9.55	9.250
Hawaii	9.48	9.49	9.49	9.487
Idaho	8.80	8.32	8.74	8.620
Illinois	9.04	8.43	8.62	8.697
Indiana	9.14	8.81	8.89	8.947
Iowa	8.67	8.99	9.29	8.983
Kansas	9.33	9.09	9.17	9.197
Kentucky	8.85	8.69	8.93	8.823
Louisiana	9.04	8.92	8.87	8.943
Maine	9.08	8.35	8.61	8.680
Maryland	8.72	8.38	8.73	8.610
Massachusetts	8.99	8.71	8.63	8.777
Michigan	9.48	9.53	9.47	9.493
Minnesota	8.55	8.24	8.45	8.413
Mississippi	8.96	8.50	8.50	8.653
Missouri	8.98	8.77	8.72	8.823
Montana	8.64	7.80	8.16	8.200
Nebraska	8.87	8.58	8.73	8.727
Nevada	8.83	8.35	8.46	8.547
New Hampshire	9.12	8.57	8.54	8.743
New Jersey	9.46	9.06	9.41	9.310
New Mexico	8.56	8.33	8.71	8.533
New York	9.20	9.22	8.77	9.063
North Carolina	9.13	8.55	8.91	8.863
North Dakota	8.88	8.41	8.33	8.540
Ohio	8.99	8.46	8.50	8.650
Oklahoma	8.90	8.75	8.69	8.780
Oregon	8.84	8.17	8.16	8.390
Pennsylvania	9.23	9.33	9.51	9.357
Rhode Island	9.02	8.25	8.60	8.623
South Carolina	8.95	9.00	8.96	8.970
South Dakota	8.81	8.30	8.36	8.490
Tennessee	9.36	8.95	8.80	9.037
Texas	9.12	9.09	9.01	9.073
Utah	8.50	8.59	8.61	8.567
Vermont	9.26	8.57	8.73	8.853
Virginia	8.77	8.80	8.83	8.800
Washington	8.68	8.61	8.41	8.567
West Virginia	9.05	8.74	8.80	8.863
Wisconsin	8.68	8.06	7.98	8.240
Wyoming	8.64	8.00	7.92	8.187
