Game	October	Opponent	Score	Location/Attendance	Record	Points
1	8	Dallas Stars	3-4 (OT)	Prudential Center - 17,625	0-0-1	1
2	9	@ Washington Capitals	2-7	Verizon Center - 18,398	0-1-1	1
3	11	Pittsburgh Penguins	1-3	Prudential Center - 12,880	0-2-1	1
4	13	@ Buffalo Sabres	1-0 (OT)	HSBC Arena - 18,690	1-2-1	3
5	15	Colorado Avalanche	2-3	Prudential Center - 12,221	1-3-1	3
6	16	Boston Bruins	1-4	Prudential Center - 13,056	1-4-1	3
7	21	@ Montreal Canadiens	3-0	Bell Centre - 21,273	2-4-1	5
8	23	Buffalo Sabres	1-6	Prudential Center - 14,228	2-5-1	5
9	24	@ New York Rangers	1-3	Madison Square Garden - 18,200	2-6-1	5
10	27	@ San Jose Sharks	2-5	HP Pavilion - 17,562	2-7-1	5
11	29	@ Anaheim Ducks	2-1	Honda Center - 14,724	3-7-1	7
