No.	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (in millions)
1	" Pilot "	David Nutter	Maggie Friedman	September23,2009	276050	8.53
2	"Reaping and Sewing"	David Nutter	Maggie Friedman	September30,2009	3X5651	6.62
3	"Madams and Madames"	Michael Katleman	David S. Rosenthal	October7,2009	3X5652	5.28
4	"Fleas and Casserole"	Elodie Keene	Rina Mimoun	October14,2009	3X5653	5.09
5	"Mooning and Crooning"	Bill D'Elia	Chris Dingess	October21,2009	3X5654	4.93
6	"Bonfire and Betrayal"	Dan Lerner	Maggie Friedman & Rina Mimoun	October28,2009	3X5655	5.06
7	"Red Ants and Black Widows"	Tom Verica	Nancy Won	November4,2009	3X5656	4.60
8	"Paint and Pleasure"	John Terlesky	Annie Weisman	November25,2009	3X5657	3.89
9	"Tasers and Mind Erasers"	Fred Gerber	David S. Rosenthal	December2,2009	3X5658	4.25
10	"Tea and Psychopathy"	Michael Katleman	Maggie Friedman	December16,2009	3X5659	3.69
11	"Red Bath and Beyond"	Kevin Rodney Sullivan	Maggie Friedman	January 19, 2010 (UK)	3X5660	N/A
12	"Magic Snow and Creep Gene"	Wendey Stanzler	Rina Mimoun	December30,2009	3X5661	3.26
