Game	Date	Team	Score	Record	Streak
65	March 1	@ Milwaukee Bucks	100–104	40–25	Loss 2
66	March 4	Seattle SuperSonics	104–97	41–25	Win 1
67	March 6	@ Kansas City-Omaha Kings	110–111	41–26	Loss 1
68	March 8	Milwaukee Bucks	110–95	42–26	Win 1
69	March 13	@ Golden State Warriors	122–103	43–26	Win 2
70	March 14	@ Seattle SuperSonics	105–125	43–27	Loss 1
71	March 16	@ Portland Trail Blazers	95–102	43–28	Loss 2
72	March 18	@ Houston Rockets	115–122	43–29	Loss 3
73	March 21	@ Boston Celtics	101–109	43–30	Loss 4
74	March 22	Houston Rockets	117–112	44–30	Win 1
75	March 25	Philadelphia 76ers	118–103	45–30	Win 2
76	March 26	@ Washington Bullets	94–91	46–30	Win 3
77	March 28	@ Philadelphia 76ers	115–104	47–30	Win 4
78	March 29	Boston Celtics	102–96	48–30	Win 5
