Round	Pick	Player	Position	Nationality	Team	College
3	–	Norm Grekin Category:Articles with hCards	F	United States	Philadelphia Warriors	La Salle
3	–	Cliff Hagan Category:Articles with hCards ^	G/F	United States	Boston Celtics	Kentucky
5	–	Bob Santini Category:Articles with hCards	F	United States	New York Knicks	Iona
7	–	Lou Tsioropoulos Category:Articles with hCards	F	United States	Boston Celtics	Kentucky
–	–	Richard Atha Category:Articles with hCards	G	United States	New York Knicks	Indiana State
–	–	Irv Bemoras Category:Articles with hCards	G/F	United States	Milwaukee Hawks	Illinois
–	–	Bill Bolger Category:Articles with hCards	F	United States	Milwaukee Hawks	Georgetown
–	–	Gene Dyker Category:Articles with hCards	F	United States	Milwaukee Hawks	DePaul
–	–	Jack George Category:Articles with hCards *	G	United States	Philadelphia Warriors	La Salle
–	–	Ken Sears Category:Articles with hCards +	F	United States	Rochester Royals	Santa Clara
–	–	Billy Kenville Category:Articles with hCards	G/F	United States	Syracuse Nationals	St. Bonaventure
–	–	Paul Nolen Category:Articles with hCards	C	United States	Baltimore Bullets	Texas Tech
–	–	Bob Peterson Category:Articles with hCards	F	United States	Baltimore Bullets	Oregon
–	–	Connie Rea Category:Articles with hCards	G/F	United States	Baltimore Bullets	Centenary
–	–	Frank Reddout Category:Articles with hCards	F	United States	Rochester Royals	Syracuse
–	–	Joe Smyth Category:Articles with hCards	F	United States	New York Knicks	Niagara
