Date	Visitor	Score	Home	Leading scorer	Attendance	Record
November 5	Cleveland	115-107	Charlotte	Mark Price , 27 points	Charlotte Coliseum 23,698	1-0
November 8	Houston	100-98	Cleveland	Terrell Brandon , 19 points	Gund Arena 20,562	1-1
November 10	Milwaukee	88-108	Cleveland	Mark Price , 18 points	Gund Arena 19,203	2-1
November 12	Indiana	93-86	Cleveland	Mark Price , 15 points	Gund Arena 20,401	2-2
November 15	Charlotte	86-89	Cleveland	Tyrone Hill , 22 points	Gund Arena 19,959	3-2
November 17	Cleveland	81-80	Portland	Mark Price , 30 points	Memorial Coliseum 12,888	4-2
November 18	Cleveland	80-82	LA Lakers	Hot Rod Williams , 16 points	Great Western Forum 10,177	4-3
November 20	Cleveland	88-96	Sacramento	Hot Rod Williams , 17 points	ARCO Arena 17,317	4-4
November 22	Minnesota	79-112	Cleveland	Mark Price , 17 points	Gund Arena 19,125	5-4
November 23	Cleveland	87-100	Miami	2 way tie, 17 points	Miami Arena 14,498	5-5
November 25	Cleveland	96-94	Washington	Tyrone Hill , 25 points	USAir Arena 12,756	6-5
November 26	Golden State	87-101	Cleveland	Mark Price , 31 points	Gund Arena 20,562	7-5
November 30	LA Lakers	79-117	Cleveland	3 way tie, 16 points	Gund Arena 19,014	8-5
