Type	Actual Exponent	Exp (biased)	Exponent field	Significand (fraction field)	Value
Zero	−127	0	0000 0000	000 0000 0000 0000 0000 0000	0.0
Negative zero	−127	0	0000 0000	000 0000 0000 0000 0000 0000	−0.0
One	0	127	0111 1111	000 0000 0000 0000 0000 0000	1.0
Minus One	0	127	0111 1111	000 0000 0000 0000 0000 0000	−1.0
Smallest denormalized number	−127	0	0000 0000	000 0000 0000 0000 0000 0001	±2 −23 × 2 −126 = ±2 −149 ≈ ±1.4 × 10−
"Middle" denormalized number	−127	0	0000 0000	100 0000 0000 0000 0000 0000	±2 −1 × 2 −126 = ±2 −127 ≈ ±5.88 × 10−
Largest denormalized number	−127	0	0000 0000	111 1111 1111 1111 1111 1111	±(1−2 −23 ) × 2 −126 ≈ ±1.18 × 10−
Smallest normalized number	−126	1	0000 0001	000 0000 0000 0000 0000 0000	±2 −126 ≈ ±1.18 × 10−
Largest normalized number	127	254	1111 1110	111 1111 1111 1111 1111 1111	±(2−2 −23 ) × 2 127 ≈ ±3.4 × 10
Positive infinity	128	255	1111 1111	000 0000 0000 0000 0000 0000	+∞
Negative infinity	128	255	1111 1111	000 0000 0000 0000 0000 0000	−∞
Not a number	128	255	1111 1111	non zero	NaN
* Sign bit can be either 0 or 1.	* Sign bit can be either 0 or 1.	* Sign bit can be either 0 or 1.	* Sign bit can be either 0 or 1.	* Sign bit can be either 0 or 1.	* Sign bit can be either 0 or 1.
