Serial Title	Year	Chapters	Director	Cast
Silent Serials	Silent Serials	Silent Serials	Silent Serials	Silent Serials
The Silent Flyer	1926	10	William James Craft	Malcolm McGregor
Heroes of the Wild	1927	10	Harry S. Webb	Jack Hoxie
Isle of Sunken Gold	1927	10	Harry S. Webb	Anita Stewart & Duke Kahanamoku
The Golden Stallion	1927	10	Harry S. Webb	Maurice Flynn & Joe Bonomo
The Vanishing West	1928	10	Richard Thorpe	Jack Perrin & Eileen Sedgwick
Vultures of the Sea	1928	10	Richard Thorpe	Johnnie Walker & Shirley Mason
The Fatal Warning	1929	10	Richard Thorpe	Helene Costello & Ralph Graves
Partial Sound Serials	Partial Sound Serials	Partial Sound Serials	Partial Sound Serials	Partial Sound Serials
The King of the Kongo	1929	10	Richard Thorpe	Jacqueline Logan & Walter Miller
All Sound Serials	All Sound Serials	All Sound Serials	All Sound Serials	All Sound Serials
The Lone Defender	1930	12	Richard Thorpe	Rin Tin Tin & Walter Miller
The Phantom of the West	1931	10	D. Ross Lederman	Tom Tyler & William Desmond
King of the Wild	1931	12	B. Reeves Eason and Richard Thorpe	Walter Miller and Nora Lane
The Vanishing Legion	1931	12	Ford Beebe and B. Reeves Eason	Harry Carey and Edwina Booth
The Galloping Ghost	1931	12	B. Reeves Eason and Benjamin H. Kline	Harold 'Red' Grange
The Lightning Warrior	1931	12	Benjamin H. Kline and Armand Schaefer	Rin Tin Tin
The Shadow of the Eagle	1932	12	Ford Beebe and B. Reeves Eason	John Wayne
The Last of the Mohicans	1932	12	Ford Beebe and B. Reeves Eason	Harry Carey
The Hurricane Express	1932	12	J.P. McGowan and Armand Schaefer	John Wayne
The Devil Horse	1932	12	Otto Brower	Harry Carey & Noah Beery
The Whispering Shadow	1933	12	Colbert Clark and Albert Herman	Bela Lugosi
The Three Musketeers	1933	12	Colbert Clark and Armand Schaefer	John Wayne and Lon Chaney Jr.
Fighting with Kit Carson	1933	12	Colbert Clark and Armand Schaefer	Johnny Mack Brown & Betsy King Ross
The Wolf Dog	1933	12	Colbert Clark and Harry L. Fraser	Rin Tin Tin & Frankie Darro
The Mystery Squadron	1933	12	Colbert Clark and David Howard	Bob Steele & Guinn "Big Boy" Williams
The Lost Jungle	1934	12	David Howard and Armand Schaefer	Clyde Beatty & Cecilia Parker
Burn 'Em Up Barnes	1934	12	Colbert Clark and Armand Schaefer	Jack Mulhall & Frankie Darro
The Law of the Wild	1934	12	B. Reeves Eason and Armand Schaefer	Rin Tin Tin
Mystery Mountain	1934	12	Otto Brower and B. Reeves Eason	Ken Maynard
The Phantom Empire	1935	12	Otto Brower and B. Reeves Eason	Gene Autry
The Miracle Rider	1935	15	Otto Brower and B. Reeves Eason	Tom Mix & Charles Middleton
The Adventures of Rex and Rinty	1935	12	B. Reeves Eason and Ford Beebe	Rex & Rin Tin Tin
The Fighting Marines	1935	12	B. Reeves Eason and Joseph Kane	Grant Withers
