Week	Date	Opponent	Result	Attendance
1	September 10, 1989	Phoenix Cardinals	L 16-13	36,735
2	September 17, 1989	at New York Giants	L 24-14	76,021
3	September 24, 1989	Chicago Bears	L 47-27	71,418
4	October 1, 1989	Pittsburgh Steelers	L 23-3	43,804
5	October 8, 1989	at Minnesota Vikings	L 24-17	55,380
6	October 15, 1989	at Tampa Bay Buccaneers	W 17-16	46,225
7	October 22, 1989	Minnesota Vikings	L 20-7	51,579
8	October 29, 1989	at Green Bay Packers	L 23-20 OT	53,731
9	November 5, 1989	at Houston Oilers	L 35-31	48,056
10	November 12, 1989	Green Bay Packers	W 31-22	44,324
11	November 19, 1989	at Cincinnati Bengals	L 42-7	55,720
12	November 23, 1989	Cleveland Browns	W 13-10	65,624
13	December 3, 1989	New Orleans Saints	W 21-14	38,550
14	December 10, 1989	at Chicago Bears	W 27-17	52,650
15	December 17, 1989	Tampa Bay Buccaneers	W 33-7	40,362
16	December 24, 1989	at Atlanta Falcons	W 31-24	7,792
