Date	Cover model	Centerfold model	Interview subject	20 Questions	Pictorials
1-86	no model pictured	Sherry Arnett	Ruth Westheimer	Jay Leno	Iman , Melanie Griffith
2-86	Cherie Witter	Julie McCullough	Michael Douglas	Anthony Pellicano	Women of Alaska
3-86	Sally Field	Kim Morris	Sally Field	David Byrne	Female s disk jockey
5-86	Kathleen Turner	Christine Richters	Kathleen Turner	Kim Basinger	Female magicians
6-86	Kathy Shower	Rebecca Ferratti	Kareem Abdul-Jabbar	Al Unser and Al Unser, Jr.	Kathy Shower - PMOY, Linda Evans
7-86	Carrie Leigh	Lynne Austin	Arthur C. Clarke	Tom Cruise	Carrie Leigh, Brenda Venus
8-86	Lillian Müller	Ava Fabian	Jackie Gleason	Sigourney Weaver	Brigitte Nielsen
9-86	Julie McCullough	Rebekka Armstrong	Carl Bernstein	Gregory Hines	Farmer's Daughters
10-86	Sharon Kaye	Katherine Hushaw	Phil Collins	Jim McMahon	Women of the Ivy League , Wendy O. Williams
11-86	Devin DeVasquez	Donna Edmondson	Joan Rivers	David Horowitz	Devin DeVasquez
