Poll source	Dates administered	Arlen Specter*	Pat Toomey	Tom Ridge*	Peg Luksik
Suffolk	May 13, 2010	––	60%	––	9%
Quinnipiac	May 12, 2010	––	60%	––	9%
Quinnipiac	July 19, 2009	––	47%	––	6%
Quinnipiac	May 28, 2009	––	38%	––	3%
Research 2000	May 7, 2009	––	41%	33%	––
Public Opinion	May 5, 2009	––	23%	60%	––
POS	May 3, 2009	––	22%	62%	2%
Rasmussen	April 21, 2009	30%	51%	––	––
Qunnipiac	March 19, 2009	27%	41%	––	––
Franklin/Marshall	March 17, 2009	33%	18%	––	2%
Research 2000	December 8, 2008	43%	28%	––	––
