District	Incumbent	Party	First elected	Result	Candidates
Florida 1	Joe Scarborough	Republican	1994	Re-elected	Joe Scarborough (R) 72.54% Kevin Beck (D) 27.42%
Florida 4	Tillie Fowler	Republican	1992	Re-elected	Tillie Fowler (R) unopposed
Florida 5	Karen Thurman	Democratic	1992	Re-elected	Karen Thurman (D) 61.68% Dave Gentry (R) 38.32%
Florida 6	Cliff Stearns	Republican	1988	Re-elected	Cliff Stearns (R) 67.18% Newell O'Brien (D) 32.82%
Florida 7	John Mica	Republican	1992	Re-elected	John Mica (R) 62.04% George Stuart (D) 37.93%
Florida 8	Bill McCollum	Republican	1980	Re-elected	Bill McCollum (R) 67.47% Al Krulick (D) 32.52%
Florida 10	Bill Young	Republican	1970	Re-elected	Bill Young (R) 66.61% Henry Green (D) 33.39%
Florida 11	Sam Gibbons	Democratic	1962	Retired Democratic hold	Jim Davis (D) 57.91% Mark Sharpe (R) 42.09%
Florida 12	Charles Canady	Republican	1992	Re-elected	Charles Canady (R) 61.57% Mike Canady (D) 38.43%
Florida 13	Dan Miller	Republican	1992	Re-elected	Dan Miller (R) 64.34% Sanford Gordon (D) 35.60%
Florida 14	Porter Goss	Republican	1988	Re-elected	Porter Goss (R) 73.49% Jim Nolan (D) 26.51%
Florida 16	Mark Foley	Republican	1994	Re-elected	Mark Foley (R) 64% Jim Stuber (D) 36%
Florida 17	Carrie Meek	Democratic	1992	Re-elected	Carrie Meek (D) 88.75% Wellington Rolle (R) 11.24%
Florida 18	Ileana Ros-Lehtinen	Republican	1989	Re-elected	Ileana Ros-Lehtinen (R) unopposed
Florida 20	Peter Deutsch	Democratic	1992	Re-elected	Peter Deutsch (D) 64.99% Jim Jacobs (R) 35.01%
Florida 21	Lincoln Diaz-Balart	Republican	1992	Re-elected	Lincoln Diaz-Balart (R) unopposed
