SP	Number	Horse	Age	Handicap (st-lb)	Jockey	Trainer	Owner	Colours	Finishing position
7/1	26	Cloudy Lane	8	10-11	Jason Maguire	Donald McCain, Jr.	Trevor Hemmings	Green/yellow quarters, whites sleeves and cap	6th
10/1	11	Butler's Cabin	8	11-3	Tony McCoy	Jonjo O'Neill	J. P. McManus	Green and orange hoops, white cap	Fence 22
10/1	12	Slim Pickings	9	11-3	Barry Geraghty	Tom Taaffe	syndicate	Blue/whites checks, blue sleeves and cap	4th
16/1	16	Snowy Morning	8	11-1	David Casey	Willie Mullins	Quayside syndicate	Yellow with black braces, quartered cap	3rd
20/1	27	King John's Castle	9	10-11	Paul Carberry	Arthur Moore	J. P. McManus	Green and orange hoops and quartered cap	2nd
20/1	14	Vodka Bleu	9	11-2	Paul Moloney	David Pipe	David Johnson	Blue with green sleeves, blue cap	Fence 19
25/1	22	D'Argent	11	10-12	Robert Thornton	Alan King	Nigel Bunter	Purple with navy star and cap	Fence 27
25/1	19	McKelvey	9	11-0	Tom O'Brien	Peter Bowen	N. Elliott	Green with red V and quartered cap	Fence 20
25/1	21	Point Barrow	10	10-13	Tony Dobbin	P. Hughes	Mrs. P. Clune Hughes, Mrs. M. O'Dwyer & J. Foley	Violet with purple trim and quartered cap	Fence 17
28/1	28	Mon Mome	8	10-11	Aidan Coleman	Venetia Williams	Vida Bingham	Green with blue armbands, green cap	10th
33/1	15	L'ami	9	11-1	Mick Fitzgerald	François Doumen	J. P. McManus	Green and orange hoops, red cap	Fence 2
33/1	5	Turko	6	11-10	Richard Johnson	Paul Nicholls	Stewart family	White and black halves with red sleeves and cap	Fence 25
66/1	24	Bailey Breeze	9	10-11	Paddy Flood	Mouse Morris	R. A. Scott	Green with red star, stars on sleeves and cap	8th
66/1	38	Black Apalachi	9	10-8	Andrew McNamara	Dessie Hughes	Gerard Burke	Green with blue hoops on sleeves and star on cap	Fence 2
66/1	34	Idle Talk	9	10-9	Brian Harding	Donald McCain Jr.	Trevor Hemmings	Green and yellow quarters, white sleeves, red cap	14th
66/1	20	Joacci	8	10-13	Johnny Farrelly	David Pipe	David Johnson	Blue, green sleeves, white cap with green spots	Fence 20
66/1	3	Knowhere	10	11-11	Joe Tizzard	Nigel Twiston-Davies	H. R. Mould	Green with white stars and star on cap	Fence 25
66/1	30	Naunton Brook	9	10-10	Andrew Tinkler	Nigel Twiston-Davies	David Langdon	Navy and green stripes, red cap with navy star	Fence 19
100/1	25	Bob Hall	7	10-11	Noel Fehily	Jonjo O'Neill	J. P. McManus	Green and orange hoops, blue cap	Fence 19
100/1	2	Hi Cloy	11	11-12	Tom Doyle	Michael Hourigan	Susan McCloy	White with red belt and striped sleeves, white cap	11th
100/1	31	Tumbling Dice	9	10-10	Tom Ryan	Tom Taaffe	John Donegan	Black with red hollow square and checkered cap	Fence 3
