Round	Name	Circuit	Date	Winning driver	Winning car
1	International Gold Cup	Oulton Park	March 24	Tony Trimmer	McLaren M23
2	Evening News Trophy	Brands Hatch	March 27	Tony Trimmer	McLaren M23
3	Anglia TV Trophy	Snetterton	April 16	Tony Trimmer	McLaren M23
4	Sun Trophy	Mallory Park	May 1	Geoff Lees	Ensign N175
5	International Whitsuntide Race	Zandvoort	May 15	Bob Evans	Surtees TS19
6	Donington Formula 1 Trophy	Donington Park	May 21	Giancarlo Martini	Ensign N175
7	Radio 210 European Trophy	Thruxton	May 29	Tony Trimmer	McLaren M23
8	Oulton Park Formula 1 Trophy	Oulton Park	June 24	Guy Edwards	March 781
9	Dave Lee Travis Trophy	Mallory Park	July 30	Bruce Allison	March 781
10	Fuji Tapes Trophy	Brands Hatch	August 28	Tony Trimmer	McLaren M23
11	Radio Victory Trophy	Thruxton	September 10	Guy Edwards	March 781
12	Budweiser Trophy	Snetterton	September 24	Dave Kennedy	Wolf WR3
