Episode #	Season Episode #	Title	Directed by	Written by	Original air date	Prod. code
66	1	"Ill Suited"	Steve Loter	Brian Swenlin	February10,2007	401
67	2	"The Big Job"	Steve Loter	Kurt Weldon	February10,2007	404
68	3	"Trading Faces"	Steve Loter	Kim Duran	February10,2007	403
69	4	"The Cupid Effect"	Steve Loter	Charleen Easton	February10,2007	409
70	5	"Car Alarm"	Steve Loter	John Behnke & Rob Humphrey	February17,2007	402
71	6	"Mad Dogs and Aliens"	Steve Loter	Brian Swenlin	February24,2007	405
72	7	"Grande Size Me"	Steve Loter	Kurt Weldon	March3,2007	407
73	8	"Clothes Minded"	Steve Loter	Kim Duran and Stephanie Phillips	March17,2007	408
74	9	"Big Bother"	Steve Loter	Greg Weisman	April7,2007	410
75	10	"Fashion Victim"	Steve Loter	Kim Duran	April14,2007	406
76	11	"Odds Man In"	Steve Loter	Denise Moss	April28,2007	411
77	12	"Stop Team Go"	Steve Loter	Kurt Weldon	May5,2007	413
78	13	"Cap'n Drakken"	Steve Loter	Kim Duran	May19,2007	415
79	14	"Mathter and Fervent"	Steve Loter	Jim Peronto	June17,2007	412
80	15	"The Mentor of Our Discontent"	Steve Loter	Henry Gilroy	June23,2007	416
81	16	"Oh No! Yono!"	Steve Loter	Brian Swenlin	July1,2007	417
82	17	"Clean Slate"	Steve Loter	Mark Palmer	July28,2007	418
83	18	"Homecoming Upset"	Steve Loter	Michael A. Newton	August11,2007	419
84a	19a	"Chasing Rufus"	Steve Loter	Kim Duran	August12,2007	414a
84b	19b	"Nursery Crimes"	Steve Loter	Charlotte Fullerton & Kurt Weldon	August12,2007	414b
85	20	"Larry's Birthday"	Steve Loter	Kurt Weldon	September1,2007	420
