Date	Race	Country	Winner	Team	World Cup Leader	Leader's Team
March 22	Milan – San Remo	Italy	Paolo Bettini ( ITA )	Quick Step-Davitamon	Paolo Bettini ( ITA )	Quick Step-Davitamon
April 6	Ronde van Vlaanderen	Belgium	Peter Van Petegem ( BEL )	Lotto-Domo	Peter Van Petegem ( BEL )	Lotto-Domo
April 13	Paris–Roubaix	France	Peter Van Petegem ( BEL )	Lotto-Domo	Peter Van Petegem ( BEL )	Lotto-Domo
April 20	Amstel Gold Race	Netherlands	Alexandre Vinokourov ( KAZ )	Team Telekom	Peter Van Petegem ( BEL )	Lotto-Domo
April 27	Liège–Bastogne–Liège	Belgium	Tyler Hamilton ( USA )	Team CSC	Peter Van Petegem ( BEL )	Lotto-Domo
August 3	HEW Cyclassics	Germany	Paolo Bettini ( ITA )	Quick Step-Davitamon	Paolo Bettini ( ITA )	Quick Step-Davitamon
August 9	Clásica de San Sebastián	Spain	Paolo Bettini ( ITA )	Quick Step-Davitamon	Paolo Bettini ( ITA )	Quick Step-Davitamon
August 17	Züri-Metzgete	Switzerland	Daniele Nardello ( ITA )	Team Telekom	Paolo Bettini ( ITA )	Quick Step-Davitamon
October 5	Paris–Tours	France	Erik Zabel ( GER )	Team Telekom	Paolo Bettini ( ITA )	Quick Step-Davitamon
October 18	Giro di Lombardia	Italy	Michele Bartoli ( ITA )	Fassa Bortolo	Paolo Bettini ( ITA )	Quick Step-Davitamon
