District	Incumbent	Party	First elected	Result	Candidates
Illinois 2	Gus Savage	Democratic	1980	Re-elected	Gus Savage (D) 83.8% Ron Taylor (R) 16.2%
Illinois 3	Marty Russo	Democratic	1974	Re-elected	Marty Russo (D) 66.2% James J. Tierney (R) 33.8%
Illinois 4	George M. O'Brien	Republican	1972	Retired Republican hold	Jack Davis (R) 51.6% Shawn Collins (D) 48.4%
Illinois 6	Henry Hyde	Republican	1974	Re-elected	Henry Hyde (R) 75.4% Robert H. Renshaw (D) 24.6%
Illinois 9	Sidney R. Yates	Democratic	1964	Re-elected	Sidney R. Yates (D) 71.6% Herbert Sohn (R) 28.4%
Illinois 12	Phil Crane	Republican	1969	Re-elected	Phil Crane (R) 77.7% John A. Leonardi (D) 22.3%
Illinois 14	John E. Grotberg	Republican	1984	Retired Republican hold	Dennis Hastert (R) 52.4% Mary Lou Kearns (D) 47.6%
Illinois 15	Edward Rell Madigan	Republican	1972	Re-elected	Edward Rell Madigan (R) Unopposed
Illinois 17	Lane Evans	Democratic	1982	Re-elected	Lane Evans (D) 55.6% Sam McHard (R) 44.4%
Illinois 18	Robert H. Michel	Republican	1956	Re-elected	Robert H. Michel (R) 62.6% Jim Dawson (D) 37.4%
Illinois 19	Terry L. Bruce	Democratic	1984	Re-elected	Terry L. Bruce (D) 66.4% Al Salvi (R) 33.6%
Illinois 20	Dick Durbin	Democratic	1982	Re-elected	Dick Durbin (D) 68.1% Kevin B. McCarthy (R) 31.9%
Illinois 21	Melvin Price	Democratic	1944	Re-elected	Melvin Price (D) 50.4% Robert H. Gaffner (R) 49.6%
