Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	10-2	Brian Bowles	Submission (guillotine choke)	WEC 37	3	1:11	Las Vegas, Nevada , United States
Win	10-1	Chase Beebe	Decision (split)	WEC 34	3	5:00	Sacramento, California , United States
Win	9-1	Andre Lobo	KO (punches)	Shooto - Brazil 5	1	0:09	Rio de Janeiro , Brazil
Win	8-1	William Vianna	KO (punch)	Shooto - Brazil 4	3	N/A	Rio de Janeiro , Brazil
Win	7-1	D'Angelo de Souza Vieira	KO (knee to the body)	Conquista Fight 3	1	0:16	Brazil
Loss	6-1	Erinaldo Pitbull	Decision (unanimous)	Shooto - Brazil 11	3	5:00	Rio de Janeiro , Brazil
Win	6-0	D'Angelo de Souza Vieira	Decision (split)	Top Fighter MMA 2	3	5:00	Rio de Janeiro , Brazil
Win	5-0	Daniel Siqueira	KO (punches)	Juiz de Fora - Fight 3	1	N/A	Brazil
Win	4-0	Washington dos Anjos	Submission (punches)	Submission PC: Pantanal Combat	2	2:01	Brazil
Win	3-0	Luis Rogerio de Agostinho	TKO (upkick to the body)	Minotauro Fights 1	1	4:00	Macapá , Amapa, Brazil
Win	2-0	Dini Dini	Decision (unanimous)	IMVT - Iron Man Vale Tudo	3	5:00	Macapá , Amapa, Brazil
Win	1-0	Gabriel Barros	Submission (side choke)	Conquista Fight 1	2	4:05	Vitoria da Conquista, Bahia, Brazil
