Stadium	Capacity	City	Club	Opening
Timsah Arena	43,877	Bursa	Bursaspor	2014
Vodafone Arena	42,400	Istanbul	Beşiktaş	2015
New Konya Stadium	42,051	Konya	Konyaspor	2014
New Trabzon Stadium	41,513	Trabzon	Trabzonspor	2016
New Eskişehir Stadium	34,930	Eskişehir	Eskişehirspor	2015
Stadyum Samsun	34,658	Samsun	Samsunspor	2016
New Gaziantep Stadium	33,200	Gaziantep	Gaziantepspor	2016
New Antalya Stadium	33,000	Antalya	Antalyaspor	2016
New Sakarya Stadium	28,710	Adapazarı	Sakaryaspor	2016
Malatya Arena	25,000	Malatya	Malatyaspor	2015
New Sivas Stadium	25,000	Sivas	Sivasspor	2015
Afyonkarahisar Stadi	15,000	Afyonkarahisar	Afyonkarahisarspor	2014
Başakşehir Stadi	14,500	Istanbul	İstanbul B.B.	2014
Ay-Yıldız Stadium	25,000	Karabük	Karabükspor	2014
New Sakarya Stadium	25,000	Sakarya	Sakaryaspor	2015
New Turgutlu Stadium	12,000	Turgutlu	Turgutluspor	2014
