Date	Location	Nature of incident	Circumstances	Casualties
2011-01-11	Pol-e Khomri	Non-hostile	Accidental discharge	1 injured
2011-01-29	Ghara, Kunduz Province	Hostile	IED	2 WIA
2011-02-13	Imam Sahib area, Kunduz Province	Hostile	IED	1 WIA
2011-02-18	Baghlan–i Jadid	Hostile	Direct fire	3 KIA, 6 WIA
2011-05-03	Kunduz	Hostile	IED	5 WIA
2011-05-18	Talokan	Hostile	violent Protest	3 WIA
2011-05-25	14km NW of Kunduz	Hostile	IED	1 KIA, 1 WIA
2011-05-28	Taloqan, Takhar province	Hostile	IED	2 KIA, 5 WIA
2011-06-02	Kunduz, 36km southbound of Kunduz	Hostile	IED	1 KIA, 5 WIA
2011-06-08	1km N of Camp Marmal, Masar-i Scharif	Non-hostile	Traffic Accident	5 WIA
2001-06-08	Near Chahar Dara District headquarters	Hostile	Assault	1 WIA
2011-06-19	3km NW of PRT Kunduz	Hostile	IED	2 WIA
2011-06-23	500m outside PRT Kunduz	Non-hostile	Faulty equipment	3 injured
2011-06-28	Camp Hazrat-e Sultan, Samangan Province	Non-hostile	Accidental discharge	3 injured
2011-08-23	Camp Marmal, Mazar-e-Sharif	Non-hostile	Accidental discharge	2 injured
2011-08-25	6km N of PRT Fayzabad	Non-hostile	Traffic accident	4 injured
2011-08-30	OP North	Non-hostile	Accident	1 injured
2011-09-09	15km W of Kunduz	Hostile	IED	1 WIA
2009-09-15	OP North	Non-hostile	Accidental discharge	1 injured
2009-09-15	38km NE of Kunduz	Hostile	IED, combat	4 WIA
2011-10-19	15km NW of Pol-e Khomri	Hostile	IED	1 WIA
2011-11-23	35km SW of PRT Kunduz	Hostile	IED	2 WIA
2011-11-29	Baghlan	Hostile	IED	1 WIA
2011-12-02	E of Mazar-i-Sharif	Non-hostile	Traffic accident	3 injured
2011-12-12	Near PRT Kunduz	Non-hostile	Ricochet	1 injured
2011-12-20	1km off PRT Kunduz	Non-hostile	Traffic accident	2 injured
