Name	Built	Listed	Location	County
1931 Tempe Bridge	1931	1981-08-13	Tempe	Maricopa
Alchesay Canyon Bridge	1904, 1905	1988-09-30	Roosevelt	Maricopa
Allentown Bridge	1923	1988-09-30	Houck	Apache
Antelope Hill Highway Bridge	1915, 1920	1979-06-28	Tacna	Yuma
Black Gap Bridge	1921	1988-09-30	Clifton	Greenlee
Black River Bridge	1912, 1929	1988-09-30	Carrizo	Gila
Boulder Creek Bridge	1937	1989-03-31	Tortilla Flat	Maricopa
Broadway Bridge	1917	1988-09-30	Clarkdale	Yavapai
Cameron Suspension Bridge	1911	1986-06-05	Cameron	Coconino
Canyon Diablo Bridge	1914, 1915, ca.1930	1988-09-30	Winona	Coconino
Canyon Padre Bridge	1913, 1914	1988-09-30	Flagstaff	Coconino
Cedar Canyon Bridge	1937	1988-09-30	Show Low	Navajo
Chevelon Creek Bridge	1912, 1913	1983-12-08	Winslow	Navajo
Cienega Bridge	1921	1988-09-30	Vail	Pima
Cordova Avenue Bridge	1921	1989-03-31	Miami	Gila
Corduroy Creek Bridge	1937	1988-09-30	Show Low	Navajo
Dead Indian Canyon Bridge	1933	1988-09-30	Desert View	Coconino
Dead Indian Canyon Bridge	1934	1988-09-30	Desert View	Coconino
Devil's Canyon Bridge	1921, 1922	1988-09-30	Superior	Pinal
Douglas Underpass	1936	1988-09-30	Douglas	Cochise
Fish Creek Bridge	1923	1988-09-30	Tortilla Flat	Maricopa
Fossil Creek Bridge	1924, 1925	1988-09-30	Camp Verde	Gila , Yavapai
Fourth Avenue Underpass	1916	1988-09-30	Tucson	Pima
Gila Bend Overpass	1934	1988-09-30	Gila Bend	Maricopa
Gila River Bridge	1918	1988-09-30	Clifton	Greenlee
Gillespie Dam Highway Bridge	1926, 1927	1981-05-05	Gila Bend	Maricopa
Hassayampa River Bridge	1929	1988-09-30	Hassayampa	Maricopa
Hell Canyon Bridge	1923	1988-09-30	Drake	Yavapai
Hereford Bridge	1912, 1927	1988-09-30	Hereford	Cochise
Holbrook Bridge	1916	1988-09-30	Holbrook	Navajo
Holbrook Bridge	1928	1989-03-31	Holbrook	Navajo
Inspiration Avenue Bridge	1921	1989-03-31	Miami	Gila
Jack's Canyon Bridge	1913	1988-09-30	Winslow	Navajo
Kelvin Bridge	1917	1988-09-30	Kelvin	Pinal
Keystone Avenue Bridge	1921	1989-03-31	Miami	Gila
Lewis and Pranty Creek Bridge	1923	1988-09-30	Tortilla Flat	Maricopa
Lithodendron Wash Bridge	1932	1988-09-30	Holbrook	Navajo
Little Hell Canyon Bridge	1923	1988-09-30	Drake	Yavapai
Little Lithodendron Wash Bridge	1932	1988-09-30	Holbrook	Navajo
Lynx Creek Bridge	1922	1988-09-30	Prescott	Yavapai
McPhaul Suspension Bridge	1929	1981-08-13	Dome	Yuma
Miami Avenue Bridge	1921	1989-03-31	Miami	Gila
W. W. Midgley Bridge	1938, 1939	1989-03-31	Sedona	Coconino
Mineral Creek Bridge	ca.1923	1988-09-30	Kelvin	Pinal
Mormon Flat Bridge	1924, 1925	1988-09-30	Tortilla Flat	Maricopa
Navajo Bridge	1927-1929	1981-08-13	Lee's Ferry	Coconino
Ocean to Ocean Bridge	1914, 1915	1979-09-11	Yuma	Yuma
Old Trails Bridge	1915, 1916	1988-09-30	Topock	Mohave
Park Avenue Bridge	1918	1988-09-30	Clifton	Greenlee
Perkinsville Bridge	1921, 1936	1989-03-31	Ash Fork	Yavapai
Petrified Forest Bridge	1932	removed 1998-11-27	Navajo	Apache
Pine Creek Bridge	1925	1988-09-30	Tortilla Flat	Maricopa
Poland Tunnel	1904	1978-03-29	Poland	Yavapai
Pumphouse Wash Bridge	1931	1988-09-30	Flagstaff	Coconino
Queen Creek Bridge	1919, 1920	1988-09-30	Florence Junction	Pinal
Queen Creek Bridge	1920, 1921	1988-09-30	Superior	Pinal
Querino Canyon Bridge	1930	1988-09-30	Houck	Apache
Reppy Avenue Bridge	1921	1988-09-30	Miami	Gila
Sacaton Dam Bridge	1924, 1925	1988-09-30	Sacaton	Pinal
Salt River Bridge	1920	1988-09-30	Roosevelt	Gila
Salt River Canyon Bridge	1934	1988-09-30	Carrizo	Gila
San Tan Canal Bridge	1925, 1926	1988-09-30	Sacaton	Pinal
Sand Hollow Wash Bridge	1929, 1930	1988-09-30	Littlefield	Mohave
Sanders Bridge	1923	1988-09-30	Sanders	Apache
Santa Cruz Bridge No. 1	1917	1988-09-30	Nogales	Santa Cruz
Sixth Avenue Underpass	1930	1988-09-30	Tucson	Pima
Solomonville Road Overpass	1907	1988-09-30	Clifton , Safford	Greenlee
St. Joseph Bridge	1917	1988-09-30	Joseph City	Navajo
Stone Avenue Underpass	1936	1988-09-30	Tucson	Pima
Tempe Bridge	1911–1913	removed 1992-10-02	Tempe	Maricopa
Tempe Concrete Arch Highway Bridge	1911	1984-05-07	Tempe	Maricopa
Verde River Bridge	1922, 1923	1988-09-30	Paulden	Yavapai
Verde River Sheep Bridge	1940, 1944	1978-11-21	Carefree	Yavapai
Walnut Canyon Bridge	1923, 1924	1988-09-30	Winona	Coconino
Walnut Creek Bridge	1921, 1936	1989-03-31	Simmons	Yavapai
Walnut Grove Bridge	1924	1988-09-30	Walnut Grove	Yavapai
Winkelman Bridge	1916	1988-09-30	Winkelman	Pinal
Winslow Bridge	1939	1989-03-31	Winslow	Navajo
Winslow Underpass	1936	1988-09-30	Winslow	Navajo
Woodruff Bridge	1917	1988-09-30	Woodruff	Navajo
