Date	Opponent	Venue	Result	Attendance
15 August 1998	West Ham United	H	0–1	30,236
22 August 1998	Tottenham Hotspur	A	3–0	32,129
29 August 1998	Aston Villa	H	0–1	25,989
9 September 1998	Derby County	A	0–1	26,209
12 September 1998	Blackburn Rovers	H	3–0	20,846
19 September 1998	Wimbledon	A	1–2	13,163
26 September 1998	Arsenal	H	1–0	27,949
3 October 1998	Middlesbrough	A	0–4	34,163
18 October 1998	Coventry City	A	0–1	16,006
24 October 1998	Everton	H	0–0	26,592
31 October 1998	Southampton	H	0–0	30,078
8 November 1998	Leeds United	A	1–2	30,012
14 November 1998	Newcastle United	A	1–1	36,698
21 November 1998	Manchester United	H	3–1	39,475
28 November 1998	Chelsea	A	1–1	34,451
7 December 1998	Nottingham Forest	H	3–2	19,321
12 December 1998	Charlton Athletic	H	3–0	26,010
19 December 1998	Liverpool	A	0–2	40,003
26 December 1998	Leicester City	H	0–1	33,513
28 December 1998	Aston Villa	A	1–2	39,217
9 January 1999	Tottenham Hotspur	H	0–0	28,204
16 January 1999	West Ham United	A	4–0	25,642
30 January 1999	Derby County	H	0–1	24,440
6 February 1999	Leicester City	A	2–0	20,113
20 February 1999	Blackburn Rovers	A	4–1	24,643
27 February 1999	Middlesbrough	H	3–1	24,534
3 March 1999	Wimbledon	H	1–2	24,116
9 March 1999	Arsenal	A	0–3	37,792
13 March 1999	Leeds United	H	0–2	28,142
20 March 1999	Southampton	A	0–1	15,201
3 April 1999	Coventry City	H	1–2	28,136
5 April 1999	Everton	A	2–1	35,270
17 April 1999	Manchester United	A	0–3	55,270
21 April 1999	Newcastle United	H	1–1	21,545
25 April 1999	Chelsea	H	0–0	21,652
1 May 1999	Nottingham Forest	A	0–2	20,480
8 May 1999	Liverpool	H	1–0	27,383
16 May 1999	Charlton Athletic	A	1–0	20,043
