Team	Contest and round	Opponent	1st leg score*	2nd leg score**	Aggregate score
Manchester United	Champions League Group Phase	Valencia	1–1	1–0	None
Manchester United	Champions League Group Phase	Rangers	0–0	1–0	None
Manchester United	Champions League Group Phase	Bursaspor	1–0	3–0	None
Manchester United	Champions League Round of 16	Marseille	0–0 (A)	2–1 (H)	W 2–1
Manchester United	Champions League Quarter Final	Chelsea	1–0 (A)	2–1 (H)	W 3–1
Manchester United	Champions League Semi Final	Schalke 04	2–0 (A)	4–1 (H)	W 6–1
Manchester United	Champions League Final	Barcelona	1–3 ( N )	None	L 1–3
Chelsea	Champions League Group Phase	Olympique Marseille	2–0	0–1	None
Chelsea	Champions League Group Phase	FC Spartak Moscow	4–1	2–0	None
Chelsea	Champions League Group Phase	MŠK Žilina	2–1	4–1	None
Chelsea	Champions League Round of 16	Copenhagen	2–0 (A)	0–0 (H)	W 2–0
Chelsea	Champions League Quarter Final	Manchester United	0–1 (H)	1–2 (A)	L 1–3
Arsenal	Champions League Group Phase	Partizan Belgrade	3–1	3–1	None
Arsenal	Champions League Group Phase	Shakhtar Donetsk	5–1	1–2	None
Arsenal	Champions League Group Phase	Braga	6–0	0–2	None
Arsenal	Champions League Round of 16	Barcelona	2–1 (H)	1–3 (A)	L 3–4
Tottenham Hotspur	Champions League Playoff Round	BSC Young Boys	2–3 (A)	4–0 (H)	W 6–3
Tottenham Hotspur	Champions League Group Phase	Inter Milan	3–4	3–1	None
Tottenham Hotspur	Champions League Group Phase	SV Werder Bremen	3–0	2–2	None
Tottenham Hotspur	Champions League Group Phase	FC Twente	4–1	3–3	None
Tottenham Hotspur	Champions League Round of 16	A.C. Milan	1–0 (A)	0–0 (H)	W 1–0
Tottenham Hotspur	Champions League Quarter Final	Real Madrid	0–4 (A)	0–1 (H)	L 0–5
Manchester City	Europa League Playoff Round	FC Timişoara	1–0 (A)	2–0 (H)	W 3–0
Manchester City	Europa League Group Phase	Juventus	1–1	1–1	None
Manchester City	Europa League Group Phase	Lech Poznań	3–1	1–3	None
Manchester City	Europa League Group Phase	Red Bull Salzburg	3–0	2–0	None
Manchester City	Europa League Round of 32	Aris	0–0 (A)	3–0 (H)	W 3–0
Manchester City	Europa League Round of 16	Dynamio Kyiv	0–2 (A)	1–0 (H)	L 1–2
Aston Villa	Europa League Playoff Round	SK Rapid Wien	1–1 (A)	2–3 (H)	L 3–4
Liverpool	Europa League 3rd Qual. Round	FK Rabotnički	2–0 (A)	2–0 (H)	W 4–0
Liverpool	Europa League Playoff Round	Trabzonspor	1–0 (H)	2–1 (A)	W 3–1
Liverpool	Europa League Group Phase	Napoli	3–1	0–0	None
Liverpool	Europa League Group Phase	Steaua Bucureşti	4–1	1–1	None
Liverpool	Europa League Group Phase	Utrecht	0–0	0–0	None
Liverpool	Europa League Round of 32	Sparta Prague	0–0 (A)	1–0 (H)	W 1–0
