Date	Opponent	Home / Away	Score	High points	High rebounds	High assists	Location/Attendance	Record
January 3	Mid-Michigan Destroyers	Home	109-114	Brian Woodland (27)	Brian Woodland & David Myers (7)	Reginald Riley (5)	Groves High School	1-0
January 4	Chicago Throwbacks	Home	110-106	Corey Gupton (22)	Stane's Bufford (9)	Brian Woodland & Micah Kirstein (5)	Groves High School	1-1
January 10	Mid-Michigan Destroyers	Away	107-102	Stane's Bufford (26)	Willie Mitchell (8)	Brian Woodland (7)	Bay City Western High School	2-1
January 17	Battle Creek Knights	Away	101-109	Stane's Bufford (26)	Willie Mitchell (10)	Brian Woodland (4)	Kellogg Arena	2-2
January 18	Chicago Throwbacks	Away	107-119	James Head (17)	James Head (10)	Giovanni Riley (3)	Attack Athletics	2-3
January 24	Augusta Groove	Home	131-115	Stane's Bufford (27)	Willie Mitchell (10)	Giovanni Riley (9)	Groves High School	2-4
January 31	Battle Creek Knights	Home	119-106	Brian Woodland (20)	James Head (9)	Brian Woodland (8)	Groves High School	2-5
February 8	Chicago Throwbacks	Home	114-113	Stane's Bufford (28)	Chuck Bailey (8)	Randy Gill (7)	Groves High School	2-6
February 13	Halifax Rainmen	Away	89-100	Stane's Bufford (22)	Chuck Bailey (13)	Randy Gill (11)	Halifax Metro Centre	2-7
February 15	Wilmington Sea Dawgs	Away	95-101	Stane's Bufford (27)	Chuck Bailey (13)	Randy Gill (3)	Schwartz Center	2-8
February 20	Battle Creek Knights	Away	133-143	Randy Gill (35)	Chuck Bailey (14)	Randy Gill (5)	Kellogg Arena	2-9
February 22	Mid-Michigan Destroyers	Away	118-103	Chuck Bailey (30)	Walter Waters (17)	Brian Woodland (10)	Western High School	3-9
February 28	Battle Creek Knights	Home	108-110	Randy Gill (35)	Chuck Bailey (15)	Randy Gill (14)	Groves High School	4-9
March 6	Chicago Throwbacks	Away	123-116	Brian Woodland (30)	Randy Gill (5)	Randy Gill (3)	Attack Athletics	5-9
March 8	Montreal Sasquatch	Home	115-119	Stane's Bufford (26)	Michael Manciel & Walter Waters (13)	Stane's Bufford (6)	Groves High School	6-9
March 15	Augusta Groove	Home	136-132	Walter Waters (28)	Walter Waters (15)	Brian Woodland & Randy Gill (7)	Groves High School	6-10
March 21	Augusta Groove	Away	119-123	Brian Woodland (45)	Michael Manciel (12)	Oscar Sanders (5)	Richmond Academy	6-11
March 22	Wilmington Sea Dawgs	Home*	110-91	Stane's Bufford (29)	Walter Waters (12)	Michael Manciel & Brian Woodland (3)	Brunswick Community College	6-12
March 28	Wilmington Sea Dawgs	Home	107-103	Stane's Bufford (31)	Walter Waters (11)	Brian Woodland (6)	Groves High School	6-13
