Name	Pos.	Height	Weight	Date of Birth	Club
Whynter Lamarre	GK	m (ft 8in)	kg (lb)	1979-01-14	DDO
Rachel Riddell	GK	m (ft 0in)	kg (lb)	1984-09-05	Pacific Storm
Marianne Illing	D	m (ft 9in)	kg (lb)	1974-02-12	Ottawa Titans
Susan Gardiner	CF	m (ft 3in)	kg (lb)	1980-04-13	Pacific Storm
Andrea Dewar	CF	m (ft 10in)	kg (lb)	1979-07-09	DDO
Marie Luc Arpin	D	m (ft 8in)	kg (lb)	1978-07-04	Sainte-Foy
Cora Campbell	D	m (ft 10in)	kg (lb)	1974-05-28	Calgary Renegades
Melissa Collins	D	m (ft 5in)	kg (lb)	1976-09-25	DDO
Ann Dow	CB	m (ft 5in)	kg (lb)	1971-05-01	CAMO
Jana Salat	CB	m (ft 9in)	kg (lb)	1979-04-06	Sainte-Foy
Valérie Dionne	D	m (ft 8in)	kg (lb)	1980-07-29	Sainte-Foy
Christine Robinson	CF	m (ft 11in)	kg (lb)	1984-05-17	DDO
Johanne Bégin	CF	m (ft 11in)	kg (lb)	1971-10-21	Sainte-Foy
Head Coach: Patrick Oaten	Head Coach: Patrick Oaten	Head Coach: Patrick Oaten	Head Coach: Patrick Oaten	Head Coach: Patrick Oaten	Head Coach: Patrick Oaten
