Title	Series	Director	Production Number	Release date
Wet Hare	LT	Robert McKimson	1568	1962-01-20
A Sheep in the Deep	MM	Chuck Jones Co-Director: Maurice Noble	1563	1962-02-10
Fish and Slips	LT	Robert McKimson	1567	1962-03-10
Quackodile Tears	MM	Art Davis	1582	1962-03-31
Crows' Feat	MM	Friz Freleng Co-Dir: Hawley Pratt	1561	1962-04-21
Mexican Boarders	LT	Friz Freleng Co-Dir: Hawley Pratt	1570	1962-05-12
Bill of Hare	MM	Robert McKimson	1612	1962-06-09
Zoom at the Top	MM	Chuck Jones Co-Dir: Maurice Noble	1574	1962-06-30
The Slick Chick	LT	Robert McKimson	1573	1962-07-21
Louvre Come Back to Me!	LT	Chuck Jones Co-Dir: Maurice Noble	1572	1962-08-18
Honey's Money	MM	Friz Freleng	1553	1962-09-01
The Jet Cage	LT	Friz Freleng	1609	1962-09-22
Mother Was a Rooster	MM	Robert McKimson	1571	1962-10-20
Good Noose	LT	Robert McKimson	1569	1962-11-10
Shishkabugs	LT	Friz Freleng	1615	1962-12-08
Martian Through Georgia	LT	Chuck Jones & Abe Levitow Co-Dir: Maurice Noble	1556	1962-12-29
