Week	Date	Opponent	Result	Venue	Attendance
1	September 25, 1960	Chicago Bears	L 17-14	City Stadium	32,150
2	October 2, 1960	Detroit Lions	W 28-9	City Stadium	32,150
3	October 9, 1960	Baltimore Colts	W 35-21	City Stadium	32,150
4	Bye	Bye	Bye	Bye	Bye
5	October 23, 1960	San Francisco 49ers	W 41-14	Milwaukee County Stadium	39,914
6	October 30, 1960	at Pittsburgh Steelers	W 19-13	Forbes Field	30,155
7	November 6, 1960	at Baltimore Colts	L 38-24	Memorial Stadium	57,808
8	November 13, 1960	Dallas Cowboys	W 41-7	City Stadium	32,294
9	November 20, 1960	Los Angeles Rams	L 33-31	Milwaukee County Stadium	35,763
10	November 24, 1960	at Detroit Lions	L 23-10	Tiger Stadium	51,123
11	December 4, 1960	at Chicago Bears	W 41-13	Wrigley Field	46,406
12	December 10, 1960	at San Francisco 49ers	W 13-0	Kezar Stadium	53,612
13	December 17, 1960	at Los Angeles Rams	W 35-21	Los Angeles Memorial Coliseum	53,445
