Date	Visitor	Score	Home	Record
March 1	NY Rangers	0 – 3	Detroit	31–19–12
March 2	Anaheim	1 – 1	Detroit	31–19–13
March 5	Detroit	4 – 4	Toronto	31–19–14
March 8	Detroit	5 – 3	Vancouver	32–19–14
March 10	Detroit	3 – 3	Los Angeles	32–19–15
March 12	Detroit	1 – 2	Anaheim	32–20–15
March 15	Detroit	7 – 4	San Jose	33–20–15
March 16	Detroit	2 – 4	Colorado	33–21–15
March 19	Boston	1 – 4	Detroit	34–21–15
March 21	Detroit	1 – 3	NY Rangers	34–22–15
March 23	Detroit	3 – 5	Chicago	34–23–15
March 26	Colorado	5 – 6	Detroit	35–23–15
March 28	Buffalo	1 – 2	Detroit	36–23–15
March 30	Anaheim	1 – 0	Detroit	36–24–15
