Season	Competition	Round	Opponent	Home	Away	Series
1980–81	UEFA Cup	R1	Kjøbenhavns Boldklub	3–1	5–2	8–3
1980–81	UEFA Cup	R2	FC Porto	3–0 ( aet )	0–2	3–2
1980–81	UEFA Cup	R3	Torino	2–1	1–2	3–3 ( p )
1980–81	UEFA Cup	QF	FC Sochaux	0–0	1–2	1–2
1981–82	UEFA Cup	R1	West Bromwich Albion	1–1	3–1	4–1
1981–82	UEFA Cup	R2	Radnički Niš	2–0	0–2	2–2 ( p )
1982–83	European Cup	R1	Dynamo Kiev	0–1	0–3	0–4
1983–84	European Cup	R1	Dinamo Minsk	2–2	0–1	2–3
1984–85	European Cup	R1	Budapest Honvéd	3–1	1–2	4–3
1984–85	European Cup	R2	Juventus	2–4	0–2	2–6
1987–88	UEFA Cup	R1	Dynamo Moscow	0–4	0–1	0–5
1988–89	Cup Winners' Cup	R1	Eintracht Frankfurt	0–0	0–1	0–1
1989–90	Cup Winners' Cup	R1	Slovan Bratislava	0–3	4–0 ( aet )	4–3
1989–90	Cup Winners' Cup	R2	Torpedo Moscow	3–0	1–1	4–1
1989–90	Cup Winners' Cup	QF	Sampdoria	0–2	1–2	1–4
