Year	Class	Team	Machine	Points	Rank	Wins
1988	500cc	Seed- Honda	NSR500	0	NC	0
1989	500cc	HRC - Honda	NSR500	6	32nd	0
1990	500cc	Pentax- Honda	NSR500	7	26th	0
1991	500cc	Pentax- Honda	NSR500	0	NC	0
1992	500cc	HRC - Honda	NSR500	10	16th	0
1993	500cc	Rothmans- Honda	NSR500	119	7th	0
1994	500cc	HRC - Honda	NSR500	141	7th	0
1995	500cc	Repsol- Honda	NSR500	127	5th	0
1996	500cc	Repsol- Honda	NSR500V	77	12th	0
1999	500cc	Lucky Strike- Honda	NSR500	9	21st	0
2002	MotoGP	Repsol- Honda	RC211V	13	21st	0
2002	MotoGP	Kanemoto - Honda	NSR500	13	21st	0
2005	MotoGP	Marlboro- Ducati	GP5	0	NC	0
2007	MotoGP	Pramac d'Antin Ducati	GP7	1	26th	0
2011	MotoGP	Repsol- Honda	RC212V	3	22nd	0
