Position	Sail number	Yacht	State/country	Yacht type	LOA (Metres)	Skipper	Corrected time d:hh:mm:ss
1	US60065	Rosebud	USA	STP 65	20.00	Roger Sturgeon	3:09:32:14
2	AUS 70	Ragamuffin	NSW	TP 52	15.85	Syd Fischer	3:10:53:47
3	8899	Quantum Racing	NSW	Cookson 50	15.20	Ray Roberts	3:11:29:24
4	R33	Chutzpah	VIC	IRC 40	12.35	Bruce Taylor	3:12:07:43
5	AUS 03	Ichi Ban	NSW	Jones 70	21.50	Matt Allen	3:12:53:20
6	GBR1R	City Index Leopard	UK	Farr Maxi	29.99	Mike Slade	2:13:04:48
7	1836	Yendys	NSW	Reichel Pugh 55	16.80	Geoff Ross	3:13:40:05
8	10001	Wild Oats XI	NSW	RP100	30.00	Mark Richards	3:14:24:47
9	6952	Wot Yot	NSW	TP 52	15.85	Graeme Wood	3:15:07:27
10	HW42	Wedgetail	QLD	Welbourn 42	12.80	Bill Wild	3:17:08:49
